N,nu,profile,dt_divisor,dt,steps_completed,steps_target,status,divergence_time,sup_Omega
24,0.01,P1,1,0.25,14,40,DIVERGED,3.5,4.562915361266848e+19
24,0.01,P1,2,0.125,80,80,OK,10.0,45.10332623761792
24,0.01,P1,4,0.0625,160,160,OK,10.0,21.752560863933393
24,0.01,P1,8,0.03125,320,320,OK,10.0,17.305718690373755
24,0.01,P1,16,0.015625,640,640,OK,10.0,15.7758177995323
8,0.01,P1,1,0.25,14,40,DIVERGED,3.5,4.562915361268114e+19
8,0.01,P1,2,0.125,80,80,OK,10.0,45.10332623761792
8,0.01,P1,4,0.0625,160,160,OK,10.0,21.752560863933393
8,0.01,P1,8,0.03125,320,320,OK,10.0,17.305718690373755
8,0.01,P1,16,0.015625,640,640,OK,10.0,15.7758177995323
24,0.001,P1,1,0.25,11,40,DIVERGED,2.75,8.726579754038694e+21
24,0.001,P1,2,0.125,19,80,DIVERGED,2.375,5.409290618274215e+25
24,0.001,P1,4,0.0625,42,160,DIVERGED,2.625,7.4904718729766035e+28
24,0.001,P1,8,0.03125,320,320,OK,10.0,366.62386542696
24,0.001,P1,16,0.015625,640,640,OK,10.0,228.95593490711218
8,0.001,P1,1,0.25,11,40,DIVERGED,2.75,8.726579754038694e+21
8,0.001,P1,2,0.125,19,80,DIVERGED,2.375,4.656985612438485e+25
8,0.001,P1,4,0.0625,160,160,OK,10.0,7749.194394122938
8,0.001,P1,8,0.03125,320,320,OK,10.0,366.6185788713232
8,0.001,P1,16,0.015625,640,640,OK,10.0,228.95449194695274
24,0.001,P2,1,0.25,9,40,DIVERGED,2.25,1.6612865227454247e+21
24,0.001,P2,2,0.125,17,80,DIVERGED,2.125,4.436116857600394e+35
24,0.001,P2,4,0.0625,160,160,OK,10.0,442.06741451477916
24,0.001,P2,8,0.03125,320,320,OK,10.0,205.327640875924
24,0.001,P2,16,0.015625,640,640,OK,10.0,193.60669386150673
8,0.001,P2,1,0.25,9,40,DIVERGED,2.25,1.5804599203876698e+21
8,0.001,P2,2,0.125,17,80,DIVERGED,2.125,2.5909552743082558e+23
8,0.001,P2,4,0.0625,160,160,OK,10.0,442.0212056083787
8,0.001,P2,8,0.03125,320,320,OK,10.0,205.32816707703032
8,0.001,P2,16,0.015625,640,640,OK,10.0,193.60708641554376
24,0.001,P3,1,0.125,14,80,DIVERGED,1.75,1.2666814353203368e+24
24,0.001,P3,2,0.0625,26,160,DIVERGED,1.625,1.2544040234385819e+33
24,0.001,P3,4,0.03125,320,320,OK,10.0,758.6150516654371
24,0.001,P3,8,0.015625,640,640,OK,10.0,376.83176367831
24,0.001,P3,16,0.0078125,1280,1280,OK,10.0,309.27052386740394
8,0.001,P3,1,0.125,14,80,DIVERGED,1.75,3.575226337598672e+19
8,0.001,P3,2,0.0625,26,160,DIVERGED,1.625,2.082997387882424e+33
8,0.001,P3,4,0.03125,320,320,OK,10.0,758.4628580053818
8,0.001,P3,8,0.015625,640,640,OK,10.0,376.81122504997694
8,0.001,P3,16,0.0078125,1280,1280,OK,10.0,309.2688881166375
