N,nu,profile,dt,steps,status_fp64,sup_Omega_fp64,status_mp50,sup_Omega_mp50,rel_diff
8,0.1,P1,0.25,40,OK,1.5992520491072233,OK,1.599252049107223160440757468075723750448775896522,1.3884278281774718e-16
8,0.1,P2,0.25,40,OK,4.5,OK,4.5,0.0
8,0.1,P3,0.125,80,OK,2.099581411537705,OK,2.0995814115377051292512274600109516191298369855671,0.0
8,0.01,P1,0.25,14,DIVERGED,4.562915361268114e+19,DIVERGED,45629153612682167690.817116907886497233695953351997,2.2441792558593274e-14
8,0.01,P2,0.25,40,OK,467.4100831063007,OK,467.41008310630044202099544494236320950815333718816,6.080679569751647e-16
8,0.01,P3,0.125,80,OK,105.66204828583658,OK,105.66204828583632304999273609019047382896551873823,2.4208823226827854e-15
8,0.001,P1,0.25,11,DIVERGED,8.726579754038694e+21,DIVERGED,8726579754038677753269.4719467567780934970840154693,1.922541989286865e-15
8,0.001,P2,0.25,9,DIVERGED,1.5804599203876698e+21,DIVERGED,1580459920387634376456.8671380993189013208559567204,2.2391861725490733e-14
8,0.001,P3,0.125,14,DIVERGED,3.575226337598672e+19,DIVERGED,35752263375982094803.401251618605605678889234850222,1.293452095988586e-13
12,0.1,P1,0.25,40,OK,1.5992520491072233,OK,1.599252049107223160440757468075723750448775896522,1.3884278281774718e-16
12,0.1,P2,0.25,40,OK,6.5,OK,6.5,0.0
12,0.1,P3,0.125,80,OK,2.099581411537705,OK,2.0995814115377051292512274600109516191298369855671,0.0
12,0.01,P1,0.25,14,DIVERGED,4.562915361266848e+19,DIVERGED,45629153612669496456.629167591130084077105713434921,2.226225821813071e-14
12,0.01,P2,0.25,40,OK,467.41008310628825,OK,467.41008310628902712621851382649793303719128916448,1.7025902795305028e-15
12,0.01,P3,0.125,80,OK,105.66204828583658,OK,105.66204828583632304999273609019047382896551873823,2.4208823226827854e-15
12,0.001,P1,0.25,11,DIVERGED,8.726579754038694e+21,DIVERGED,8726579754038677753269.4719467567780934970840154693,1.922541989286865e-15
12,0.001,P2,0.25,9,DIVERGED,1.6612865227454247e+21,DIVERGED,1661286522745394955960.7930169355324344877266039494,1.7830922959061315e-14
12,0.001,P3,0.125,14,DIVERGED,1.2666814353203368e+24,DIVERGED,1266681435320249008265764.3998620341331522830545957,6.929792421707626e-14
16,0.1,P1,0.25,40,OK,1.5992520491072233,OK,1.599252049107223160440757468075723750448775896522,1.3884278281774718e-16
16,0.1,P2,0.25,40,OK,8.5,OK,8.5,0.0
16,0.1,P3,0.125,80,OK,2.099581411537705,OK,2.0995814115377051292512274600109516191298369855671,0.0
16,0.01,P1,0.25,14,DIVERGED,4.562915361266848e+19,DIVERGED,45629153612669496456.629167591130084077105713434921,2.226225821813071e-14
16,0.01,P2,0.25,40,OK,467.41008310628825,OK,467.41008310628902712621851382649793303719128916448,1.7025902795305028e-15
16,0.01,P3,0.125,80,OK,105.66204828583658,OK,105.66204828583632304999273609019047382896551873823,2.4208823226827854e-15
16,0.001,P1,0.25,11,DIVERGED,8.726579754038694e+21,DIVERGED,8726579754038677753269.4719467567780934970840154693,1.922541989286865e-15
16,0.001,P2,0.25,9,DIVERGED,1.6612865227454247e+21,DIVERGED,1661286522745394955960.7930169355324342622034000573,1.7830922959061315e-14
16,0.001,P3,0.125,14,DIVERGED,1.2666814353203368e+24,DIVERGED,1266681435320249008265764.3998620341331522830545957,6.929792421707626e-14
