N,nu,profile,dt,steps,status,sup_Omega,E_initial,E_final,t_stop
8,0.1,P1,1.4685150375939849e-05,680960,OK,0.5416451354760369,0.5,0.002382018155692759,9.999999999884631
8,0.1,P2,1.4685150375939849e-05,680960,OK,0.8753841785180844,0.6666641235351562,0.0022060904845584814,9.999999999884631
8,0.1,P3,1.4685150375939849e-05,680960,OK,0.9011104739704103,0.625,0.0020975826698934026,9.999999999884631
8,0.01,P1,0.00010972612359550563,91136,OK,6.662633302097537,0.5,0.01146406572793716,9.999999999984258
8,0.01,P2,0.00010972612359550563,91136,OK,7.865239231572015,0.6666641235351562,0.010697621299224658,9.999999999984258
8,0.01,P3,0.00010972612359550563,91136,OK,9.804893760201573,0.625,0.010343502262071154,9.999999999984258
8,0.001,P1,0.0003110071656050956,32154,OK,70.87959161476942,0.5,0.017540018047529218,10.0
8,0.001,P2,0.0003110071656050956,32154,OK,73.51748113068476,0.6666641235351562,0.016451811179123255,10.0
8,0.001,P3,0.0003110071656050956,32154,OK,115.75863351411745,0.625,0.01595711295041411,10.0
12,0.1,P1,5.9459480029225526e-08,0,INFEASIBLE,0.5,0.5,0.5,0.0
12,0.1,P2,5.9459480029225526e-08,0,INFEASIBLE,6.5,0.6666666567325592,0.6666666567325592,0.0
12,0.1,P3,5.9459480029225526e-08,0,INFEASIBLE,1.0,0.625,0.625,0.0
12,0.01,P1,5.818413369876073e-07,17186816,OK,6.662633321012516,0.5,0.011464065731889397,10.0
12,0.01,P2,5.818413369876073e-07,17186816,OK,7.865239235037325,0.6666666567325592,0.010697621302807893,10.0
12,0.01,P3,5.818413369876073e-07,17186816,OK,9.804893887996787,0.625,0.010343502265496154,10.0
12,0.001,P1,4.790828591051805e-06,2087322,OK,70.88591919362644,0.5,0.017540014909829496,10.0
12,0.001,P2,4.790828591051805e-06,2087322,OK,73.52812669340149,0.6666666567325592,0.016451804168086732,10.0
12,0.001,P3,4.790828591051805e-06,2087322,OK,115.79193712763954,0.625,0.01595709934516748,10.0
16,0.1,P1,2.3279512193726543e-10,0,INFEASIBLE,0.5,0.5,0.5,0.0
16,0.1,P2,2.3279512193726543e-10,0,INFEASIBLE,8.5,0.6666666666278616,0.6666666666278616,0.0
16,0.1,P3,2.3279512193726543e-10,0,INFEASIBLE,1.0,0.625,0.625,0.0
16,0.01,P1,2.3247591356115546e-09,0,INFEASIBLE,0.5,0.5,0.5,0.0
16,0.01,P2,2.3247591356115546e-09,0,INFEASIBLE,8.5,0.6666666666278616,0.6666666666278616,0.0
16,0.01,P3,2.3247591356115546e-09,0,INFEASIBLE,1.0,0.625,0.625,0.0
16,0.001,P1,2.2933132533515693e-08,0,INFEASIBLE,0.5,0.5,0.5,0.0
16,0.001,P2,2.2933132533515693e-08,0,INFEASIBLE,8.5,0.6666666666278616,0.6666666666278616,0.0
16,0.001,P3,2.2933132533515693e-08,0,INFEASIBLE,1.0,0.625,0.625,0.0
20,0.1,P1,9.094860282382656e-13,0,INFEASIBLE,0.5,0.5,0.5,0.0
20,0.1,P2,9.094860282382656e-13,0,INFEASIBLE,10.5,0.6666666666665151,0.6666666666665151,0.0
20,0.1,P3,9.094860282382656e-13,0,INFEASIBLE,1.0,0.625,0.625,0.0
20,0.01,P1,9.094079738701468e-12,0,INFEASIBLE,0.5,0.5,0.5,0.0
20,0.01,P2,9.094079738701468e-12,0,INFEASIBLE,10.5,0.6666666666665151,0.6666666666665151,0.0
20,0.01,P3,9.094079738701468e-12,0,INFEASIBLE,1.0,0.625,0.625,0.0
20,0.001,P1,9.086281664274431e-11,0,INFEASIBLE,0.5,0.5,0.5,0.0
20,0.001,P2,9.086281664274431e-11,0,INFEASIBLE,10.5,0.6666666666665151,0.6666666666665151,0.0
20,0.001,P3,9.086281664274431e-11,0,INFEASIBLE,1.0,0.625,0.625,0.0
