N,nu,profile,dt,dt_half,sup_Omega_dt,sup_Omega_dt_half,ratio_check,steps,status
8,1/10,P1,1/4,1/8,540528069702210546227557896044569810392668676924466599180054412064399543250320777169778987344306575946390594475227888400880081770845958260950677851796245776922933439080128844595177703519120904812124520609776249378961801240565710035152962934025461714686029965821394812231115489689948386085065880808480304043789494569091796875/337988042600263318536334288793933291079338687279474289551132607747203670994179455002761204046861391862011014685356194299962687101048772506618418770071058101172729441951590275031824864243604550504601945651137651262906029565231566076105497966210450216762326989142386377506345671203370018347546685598047827126725546444540870656,8767491473599922718338704214689154965899173789516772694289668692971524610843894229097214648317054980492783518574238192142761750475942573424624001124489335689096071752507825137138847495511060728275066257081766371830073690364056119106600998136725853444617099365673988657958646166636327084814726181961181640625/9407761618021621502825356768787983055974217484966756885113810371824052925246707104193233986236971752183853393715348791703422104057017438589310427475358811249085503945216156759091729328341401221362744219107240915834377825475722762991892436010611334477222674366553774497615239553144944364347321588825035112448,1474815405863889287396055446935573467266338879091945474861158627942263751496825565273960509959478617549031825850360982843808316453935872874598178911147189872608272055845027439395926480442040758624685691078035460082052813497477779375630281124185541612940444822582230151962230587834670033027448059888018900967001195377422763953909775922079662353183413023689651888373891058540631959393269316515839514442933218457346393586717196788377897175850418280416821546019400811689742642675391102961618679980787638617948829272832970904016170767256225573333680978113190808862947810802490234375/2210091369204008500852588977588875655923339101986233906834293672262128089197650838471304019085754367472591599388611427891197531302617215869932275922144770291135082681848511846100653257159201130750052034892922301796215652996651122471842513843389107891855029686802176949417783221584606504013717180364724095163144709847569650597895618123179184149779932874645046809595239181249625841618019802631408970335556817562599432170894555822322414732666934659639384646551386728301382682061435248752813118895148779472746382785902102259391076022895863486082656205609607968327685285643580080128,6,DIVERGED
8,1/10,P2,1/4,1/8,9/2,9/2,0,4,DIVERGED
8,1/10,P3,1/8,1/16,32375478802956205814999196549011820171530554586715636756297925853875141257400177236562970950854192139897096448793877434816755940116064173946883218357068884516715741570203197943403822861867778471480449672018385828947153274108576734103692975233043989533038787631388085893577769359538606818169644090084091124890318775641296519966410938138840087890625/15644292389596135162450008635064738751449911619046431326607191589752328249711508176421506451091250175560144092534808767813397729054705443289946567487938857005407786132993612408865859572969718386112387436410420733010958111923149716830588027822561464422521230115905113875485201757013886248646532063444839948415732077111852015347814038125671694204928,75305134699648317407932606166453188477861513817828080521867804168425880847969556070153971777694892118757505958552717231913266487532865352636118825409893889024985078749815172828648226629848052235361844094198955055365910754686187457399799333562752982921683324384765625/52590858613195547732009672983493944129018462338740500560929279078253909365793553838050312744688618371079313306008849744974706308657467657168277142387074584785664575595350855476871897143467026996500959965497714115215386109078272773239108157251567969325338804185202688,104553108944403351159632699558769084020406064117613894851032792212666924062030391083768861987218087778409137403652819288484073898412143350424477515621990285588601178713043924356657301834378232003990463082533081462921622339300491468621240596635607664111388048983841189520379779680351758205300054134215416963318847964977049112140626497247581180135695428205213829791079127482775363267069947986222358484286670126521913992688818112508854048449686007594358613327537967692261167688608169593907909310478946419771304605240791015625/163986862569494205194904186283703797891322488389142127797302625958187182532737810182248053369196205394094146704122602515675568405260202075979859699841826047668628818719540197247518680574812007893167668923906837006754035259078369312545159560198820314905007797311678552866140192771638375702642174780000422686903081808742972600088720378059329405398167223398756770920921387577586155335463062049309451408147334369941341432734460659869337426633794707180359152591635931918203579131340210312957663540366852198117281060554436247552,6,DIVERGED
8,1/100,P1,1/4,1/8,2104290492207438588853989373272326910698552580232189070487204199435751029515657660211592387196009599888650470841497370685361507362444223158857447583773101158988711956912334067593717706588063296441396290051833695937288425694914599500986576080322265625/391835428980023193251203062018533848310429432631783405719306795553620411556349014472460278974477749990743086496181180531117075734189115826785111011078186698706760055315758113845237467652393928412898965064851504048357967597856681222695676159599837184,1496985182997991327384856158060765142561335082364396062918712849947341933131041136233681866563160391778749125455781976651966091019255091573679668062480411542667686807209016153830865739330347187465227730224388209451241485003762823200225830078125/1363166175853145078304337380682128912510451602373658081521229631617063202889406252043793712639859491337356628659571348316838659374932104888440339860780144477181706290711669856222887557346909808891001598911526011785181951636492915271246308511744,70333390861151268380584101211357608510252589352685800012636481236353371773325144051880409998367028041884271335752071085582167599503222423193841986462213932890674219905161872560442628973030814337658488000117175158781948887803689087822313070659633174849340106711983796810365040533877288971333591398423807309238540331658790147659189968865344714080971141627455881394696493966160652028029247839061972697158754015102706211458506507886399299692618469153797945370169671368820240116119384765625/16463135082674159876852269677544446510472357851349809625108967489050293999370525536352045412604597605030138408201767509363002228989512115268816362837116062330720532613114029522146635506756019544394600893840051917787158965325939531465406264111420976863179362794318560100903895704080503355121624153083706054053133728704059294299242674294569753400188050486708502307524762356266558455369107922589355351014179625551752502466546414116315861414369744235264013513724682912123560855650913222656,5,DIVERGED
8,1/100,P2,1/4,1/8,4229320955370849923311952652871983252775015820995481949437836388533363710323449977871864221154836484784280360034523509268736027398062540421419783548647879116576307382420134714482411487512008813566348066799917851348718499796713227170930266649017185297291580413405178435441285976160906573046522952925671506204217605070298229802403977152886440763245192426999172217004316265042877197265625/189000351394072748702863276222874306031868151940088571182502531341593089056883634009551304904715421023769280125589129517632634883082228157525322112976287749100080296998773174423639996499117334643343147191140795944119140398312127365094479880193723905738958553608571403077681136423969678765000512647763384212552249829207928626076072659025076425365806440494441743549115219512290749448192,6868558824374897435545169464488250848117924016234176950379926095992139559273732959155870427331483288195842664247323379529287578911961555095770406176948899984388580980992298426225637139283309774054689266322797345649931222704641723205370996469534372110762606190910870008143713029327392578125/1162799724130509793929872793962537474100197872764891288993753343709518736244455384973602957493749043202729943971872333799309438715048891540620714837806283168334458313147622477170024449198661167624863202952620159214810566181570567139151950981466531099553374272985410614343558388329914302464,5873568788029349158540062876849226865641250670451186854339653600330279421139967655133617540052411325964939967037132004362472491838019828401244555466116632289341920648016153837176431094306179786184276919690922509226136485314549268263080363445293847688276166874560636441724875050712809717974367186721880711204777269955970543867379236929360892590600295221722038971753050864555359008663273845882176631899065777612246368897891183530042712306525099521392543705729491529136385049318567376013217553877748735071043638316544732571588655832338823060584522859378330585171419454392528219635543950017218124237060546875/356613539583511079642858895407212539178996114465157291669256882218275358113518230898280610799532865309599639133320545782517644492639460397558184228508643630069891270258036823442859771449496953940861725550564076266450301559902916234651925105468515922743910673593999183474230546346273041509431276591656281111133668352798787947662810162334059906793900565714294250313992568079593117727273739718778003012083021446871393839432889960741996778949701595877542303971348811933909817662194512690491898268222020959128452705886784120056757935047314671629951773680010843908088424723499961685337249283808725017848446976,4,DIVERGED
8,1/100,P3,1/8,1/16,1658516309324779755916139341541223843757813112160080781029847333029827592388167891396101653656964529391822275422334894806899421214179521094660902852012363204206894534873015593362105224167329061594830603870539733726055185584910653212635460131527677106911365228863488470227897897090546788120269775390625/377353163878674674013206811298399156397620971455231244718140710862328930315437584812357010512440638501309136834321387639095811462358816197311561448675026690654365296895005944011042802721796897189379274158034853175297346238370098453255290681494820128803161489367520737975060470651002007297372142436352,2859271400641812794706261844746807244485884153412426214136548342528405180491278282318052390795376960492792738402164875282341780155910623113824920893037762589432129861402508757183735221313499751586296256058545900977096509021445878281709605608889647913634855854393707230653374618850478416358920775951506065475213337828276325708210443547242923072678996718443915467487868607492900855056044437394835460421138095855712890625/1562892662040970068264985658887314130377094103744198840185476129956570310721988472964291086179600383315320835440723957301119949584989109868749755772798362056875489145918578424510922295455198284141726618118646887466444116083220665773697148028220450694360464152112173643226289088054543545868876469716431868085349583781939448508956191128567894301173192392545837023637314626086714081330652330476745965614970898337841020928,19288835871682141163410306855156838522843227130486903156034981433365328572272952408754258861405842326605249101146633985060603661298866004849653300197838053654226414449012227858379884078976729779774964807843841650164084058680121550794712503281058273116269823533265703343507788008634392241686289537234657736381690986585328563800911657065775226816444637371507361446172930661932307436627559927453067178280578215426898507689464174519083417114616144233042289331061147236095346704964053967479451293327207157929157711360087303787199556821216747173743553855201093748481014300498441489737021107312343276737665537487566567431600641851789513282658027426422036737658519819128482588598537445068359375/7518090299738066767028099937026422857674269197940833661537681785043258098585394034248789337656695787370035983165224600880009511699991118668521376702012742804835658324533522605449886482782268105723473407358960778365289842933131003656980772474178891052626588401254927882992233735439800420289088366988179674607139451835304184632935879079785734998294910448854266369768888587296367341372533229004972900042143259458778822275653104198162505414857112490255529416205425440711823610492426608651225743001785019949821378568120492704213050258577215856649757839445887491220308196220062303896709062341796360918992104613445144951519104798808095653217691007905366472163679172781161504982161643544772608,5,DIVERGED
8,1/1000,P1,1/4,1/8,471990519402564275778902352791376724554527952204875248475186061588779593529364578274495235420173032890626549889451559860645812815232284840744235771870257776525145965857256960634206355352820775850951622603674903374973552345099008681087465372825700869808479419812733932939444774108295996762720018640865568053476954517460048487644827041625976562500000000000000/70410229495001915789153173517069887652654231646003709996479038998332988239643691700016238660505603774159188158864729254997923306703195051669916958751418619278648687956043766439178930938842256666145034476607575642484282539275303344401162823244346339723417408379836259755994403026198720529196067223444351163879735448319048564093475131930488414454664180570521,29830421322090789348380656314791581530983861364899213622242967507987097009784505002388657637067515907778040997748635548094822458482328994711461066144252703714386381043564006197541133462897063204103279775437684245029169705132649330933952871182753629621493769937544963270166809057689233892267192636150367039251875634044426615029573440551757812500000/26312883156592221133740055124810548741128631558051940031501516926122280085364531099490631745844327878630090328733040812105574983552311334325847717771886846695120797808602541477587604852896655861523909868447507814477942922871160067576266589406803420271934094941359214678514381650537648707463643162346898193595920032139777519213465305486650545975801,30302987042509917511207675083041483042254673299448609280395108774080666708224890951217734903607540138442771117606044538771542774405503973720297447221841354017538699240705124028478849071269655946771871287068583702026638858223699000774897921747999328335340159681109685537757230752445133439094829870331107869510547782471968256738428969280161012567384346670931019879396885009580377864647980748564056957893094341008803629585882007813759896292076979151726051232095104731961211908712365154540208467859770489992142861550687566501710505981515456746600371118963928669598528524912563581118503920741710697602336908603248734350666039720982313156127929687500000/5440631440818160120889144086135400197660654612663218844562814983107398264806148364630331049182468115431507659218271518648266522093723018822744143106390154501402347358161873399230027574914848729772981099574329637711724160611994457515294529892407761483994200467901073949863031173077210791249965077753025093000883509342527050335430527862371353092978440507512216844024710645194527387936679224455190257020015354486869884665276341623278061170018767111501878089918999511249684151870787355116385473133240261701128574985742529273325371240369840000146018580805522403075603068508567741147285984708378267348690369478239811870659111418465764218037926304791521,5,DIVERGED
8,1/1000,P2,1/4,1/8,8431715693213544249198330273973860098454601277657930315641039633278733479059464469301686035134529688646124774645523334285612326973329965997377904282964413924580924121123357253951529619078721209014298770031728430412039602334432046315488396992564849572491530826117407879483431692891620010133501777660207016312712298701936511638571256106137432248493621061096788977930373364950438450752794742584228515625/108355157599678622442285102725790575244337788467285245313416548150063608701578192905679709878178408084508003971914550139207421194834015686118110156786533009154244795626099053467700998318552416369622535079744371639904648430990639213949745745461287696240515412835513954541089845597136549612828088643666769647490775822584753405344192260806532369431537093286360975171759477982226659020950902604753272832,287486892718610142609308731143423006087204462536117679169711110129003215087701629813984876941346134074707321166473772378593650122077188262936090463943477205708869524627430361638331566165049207385261291037731189669949629429073403478389772098182746777150351518382011260182993523032576946149552807156071133926929054570704519748687744140625/26445251254942875634640651054656472037912234553864214805445454893947303143746215832556955455735975811304700485305266527416946932886373203268302359419917072411396828072970999826206824250274059122548132343469561861296972544824642103537692032753217400542488381570984440592114525851494106721200348048216871341095529694375798884512460439552,949775132531200644048121594286018164038606498351049416387943141963240494761622836445423616636604426178589645846929178618206993277174919933519394024589419661825277411000355503925337425782681578649204140036724425528011427017799571414147420042955247329252838640432117929988211170309520111061008278548777582606119568888029122259101537325370228439873946704944927265427167061917500127577028478194180368892583295408450813661184340480164005597760701750827942203368384214729885217718024426699130617689117231011323507081886914627328806690266988835636669196012221735504336768193442716726035038153978575178191162494361400604248046875/14187495481146257357034588253095836458136382588717581787574334429189248764726056360259315499890761818544843085863901551549836309801155120180562738949706550809394422019990289275315355847572104889060749107479649211741249669316803074762152332297691948008735964921540238236613463868160172932250949108815749499054669428283252111189052022098811839505855417453246200576458953340729943200978767477515335899480965683035610149809661653007676364734528164953781228491458535141440543227129172759356662742146177011681371756312446565384861676746431267991163226873199634036348796531738958575057665644146709369671086724754670246151847936,4,DIVERGED
8,1/1000,P3,1/8,1/16,69898210175195042356295826703995362062720083122455444708931599828854343175825025360510459281109418160841145259963215036456414943846768213447307135969010167569848335014105315196435447765516962209148829595195867983773696666528082335211802819346992583416649246501654523423295948759097741831028526905206401272694482685495189012867516542256607860519763143509304520182613845062789514045170075524714480390847660601139068603515625/14046861944972613437656086824498651857576902819517338659178456386716431867001091885859751959774627911725937145789160877947950819765655296015837813640388461096628089864570258537594539016943969022321056090756469951956258859768395093876007714940409135773713692282491152058296525338558006129306453976677169114918443266319696727595338142896292430031520523964736727390663175648421453780327119319117252632017999424443077405704192,7061290333641419844061204544588708826945033974817480040092533803819288556237097861205313594259953840725052811134526947714989593309361242349854432439046752156226024679810287759234332778210440398225905426424280369520256612353611273202793780878889143466949462890625/4370229358285960556771403499585378099293904708736381842979558438315755601733090339534688925064787948239603167769721174024201334762498800870166234384772888530011984445802698781991162928180091419604950388469778403865896366256081471553360037456614300404405992685568,289225317039888290376767010916367042091237333149748595570506036263368440970418752641076731670149842702327016825711715100611939137373153193761063140759739367750407076645778764362233031802534221465573066621502982078569093677036740847392898982469695774060293203877349324832288419824303121238186674286829386957574455714405974673292165443064614311993314135659693662975423291398620652806096807201856280209853265638657689472198706740176895053569914762104594019852958512205000491771241756934316092396337737279713277484878114543165237541255084693542667595814492453534341384768637089459972050721594673855445970412137997427987986039158798212587833404541015625/86071230531855178208456254694179913074620527785375104529448212526302917655943351804150787687373537829938007941286502939011378224797836142279415107834795938321059552233115731341958481667640216464329408255346615818833143577669658362622930984193646947863263770693597091150075058066356151287801770290308971282573814002082541172034307809218240610981857564580255840258446700582393250075505477245458524448078190811592974249093250677792746445104808475020141780292611048341872243582790217391918171536130850032654520460395738947117673672456456851015451333888703992641412767626271666781813993475905491767804379767457125525563766921822526075551726634440589312,5,DIVERGED
12,1/10,P1,1/4,1/8,540528069702210546227557896044569810392668676924466599180054412064399543250320777169778987344306575946390594475227888400880081770845958260950677851796245776922933439080128844595177703519120904812124520609776249378961801240565710035152962934025461714686029965821394812231115489689948386085065880808480304043789494569091796875/337988042600263318536334288793933291079338687279474289551132607747203670994179455002761204046861391862011014685356194299962687101048772506618418770071058101172729441951590275031824864243604550504601945651137651262906029565231566076105497966210450216762326989142386377506345671203370018347546685598047827126725546444540870656,8767491473599922718338704214689154965899173789516772694289668692971524610843894229097214648317054980492783518574238192142761750475942573424624001124489335689096071752507825137138847495511060728275066257081766371830073690364056119106600998136725853444617099365673988657958646166636327084814726181961181640625/9407761618021621502825356768787983055974217484966756885113810371824052925246707104193233986236971752183853393715348791703422104057017438589310427475358811249085503945216156759091729328341401221362744219107240915834377825475722762991892436010611334477222674366553774497615239553144944364347321588825035112448,1474815405863889287396055446935573467266338879091945474861158627942263751496825565273960509959478617549031825850360982843808316453935872874598178911147189872608272055845027439395926480442040758624685691078035460082052813497477779375630281124185541612940444822582230151962230587834670033027448059888018900967001195377422763953909775922079662353183413023689651888373891058540631959393269316515839514442933218457346393586717196788377897175850418280416821546019400811689742642675391102961618679980787638617948829272832970904016170767256225573333680978113190808862947810802490234375/2210091369204008500852588977588875655923339101986233906834293672262128089197650838471304019085754367472591599388611427891197531302617215869932275922144770291135082681848511846100653257159201130750052034892922301796215652996651122471842513843389107891855029686802176949417783221584606504013717180364724095163144709847569650597895618123179184149779932874645046809595239181249625841618019802631408970335556817562599432170894555822322414732666934659639384646551386728301382682061435248752813118895148779472746382785902102259391076022895863486082656205609607968327685285643580080128,6,DIVERGED
