n,r3
0,1
1,6
2,12
3,8
4,6
5,24
6,24
7,0
8,12
9,30
10,24
11,24
12,8
13,24
14,48
15,0
16,6
17,48
18,36
19,24
20,24
21,48
22,24
23,0
24,24
25,30
26,72
27,32
28,0
29,72
30,48
31,0
32,12
33,48
34,48
35,48
36,30
37,24
38,72
39,0
40,24
41,96
42,48
43,24
44,24
45,72
46,48
47,0
48,8
49,54
50,84
51,48
52,24
53,72
54,96
55,0
56,48
57,48
58,24
59,72
60,0
61,72
62,96
63,0
64,6
65,96
66,96
67,24
68,48
69,96
70,48
71,0
72,36
73,48
74,120
75,56
76,24
77,96
78,48
79,0
80,24
81,102
82,48
83,72
84,48
85,48
86,120
87,0
88,24
89,144
90,120
91,48
92,0
93,48
94,96
95,0
96,24
97,48
98,108
99,72
100,30
101,168
102,48
103,0
104,72
105,96
106,72
107,72
108,32
109,72
110,144
111,0
112,0
113,96
114,96
115,48
116,72
117,120
118,72
119,0
120,48
121,78
122,120
123,48
124,0
125,144
126,144
127,0
128,12
129,144
130,48
131,120
132,48
133,48
134,168
135,0
136,48
137,96
138,96
139,72
140,48
141,96
142,48
143,0
144,30
145,96
146,192
147,56
148,24
149,168
150,120
151,0
152,72
153,144
154,96
155,96
156,0
157,72
158,96
159,0
160,24
161,192
162,108
163,24
164,96
165,96
166,120
167,0
168,48
169,78
170,144
171,120
172,24
173,168
174,144
175,0
176,24
177,48
178,96
179,120
180,72
181,120
182,144
183,0
184,48
185,192
186,144
187,48
188,0
189,192
190,48
191,0
192,8
193,48
194,240
195,96
196,54
197,120
198,120
199,0
200,84
201,144
202,72
203,96
204,48
205,96
206,240
207,0
208,24
209,240
210,96
211,72
212,72
213,96
214,72
215,0
216,96
217,96
218,120
219,96
220,0
221,192
222,144
223,0
224,48
225,150
226,96
227,120
228,48
229,120
230,240
231,0
232,24
233,144
234,216
235,48
236,72
237,144
238,96
239,0
240,0
241,144
242,132
243,104
244,72
245,168
246,144
247,0
248,96
249,144
250,144
251,168
252,0
253,48
254,192
255,0
256,6
257,192
258,96
259,96
260,96
261,216
262,72
263,0
264,96
265,96
266,240
267,48
268,24
269,264
270,192
271,0
272,48
273,96
274,144
275,120
276,96
277,72
278,168
279,0
280,48
281,240
282,96
283,72
284,0
285,192
286,144
287,0
288,36
289,102
290,240
291,96
292,48
293,216
294,168
295,0
296,120
297,192
298,72
299,192
300,56
301,96
302,144
303,0
304,24
305,192
306,240
307,72
308,96
309,144
310,96
311,0
312,48
313,96
314,312
315,144
316,0
317,120
318,144
319,0
320,24
321,240
322,96
323,96
324,102
325,168
326,264
327,0
328,48
329,288
330,96
331,72
332,72
333,120
334,144
335,0
336,48
337,96
338,180
339,144
340,48
341,336
342,216
343,0
344,120
345,96
346,120
347,120
348,0
349,168
350,240
351,0
352,24
353,192
354,192
355,96
356,144
357,96
358,72
359,0
360,120
361,126
362,216
363,104
364,48
365,240
366,144
367,0
368,0
369,288
370,144
371,192
372,48
373,120
374,336
375,0
376,96
377,192
378,192
379,72
380,0
381,240
382,96
383,0
384,24
385,96
386,240
387,120
388,48
389,264
390,192
391,0
392,108
393,144
394,120
395,192
396,72
397,72
398,240
399,0
400,30
401,240
402,192
403,48
404,168
405,216
406,192
407,0
408,48
409,192
410,192
411,144
412,0
413,240
414,240
415,0
416,72
417,144
418,96
419,216
420,96
421,120
422,120
423,0
424,72
425,336
426,288
427,48
428,72
429,192
430,144
431,0
432,32
433,144
434,288
435,96
436,72
437,240
438,96
439,0
440,144
441,270
442,96
443,120
444,0
445,96
446,384
447,0
448,0
449,240
450,252
451,144
452,96
453,144
454,168
455,0
456,96
457,96
458,312
459,192
460,48
461,360
462,96
463,0
464,72
465,192
466,96
467,168
468,120
469,192
470,240
471,0
472,72
473,144
474,240
475,120
476,0
477,216
478,96
479,0
480,48
481,192
482,240
483,96
484,78
485,240
486,312
487,0
488,120
489,240
490,168
491,216
492,48
493,144
494,336
495,0
496,0
497,288
498,96
499,72
500,144
501,192
