M,n_modes,gamma,field,seed,sum_T,sum_absT,sum_A,r_cons,Pi_half,A_half,D_a,shell_n,shell_A,shell_absT,shell_sumT,D_b1,D_b2,secs
2,32,0.000000,random,1,4.8572257327e-16,2.9012209848e1,8.9789163129e1,1.674e-17,2.5522855342e0,7.7411243653e1,3.033017e1,26,7.7411243653e1,2.3319901296e1,2.5522855342e0,3.319536e0,3.033017e1,0.00
2,32,0.000000,random,2,-4.4408920985e-16,3.9590284701e1,9.8891009507e1,1.122e-17,-1.5472848281e0,8.1168526268e1,5.245868e1,26,8.1168526268e1,3.0702000883e1,-1.5472848281e0,2.643754e0,5.245868e1,0.00
2,32,0.000000,random,3,1.3045120539e-15,3.8937462257e1,1.1111258497e2,3.350e-17,3.3235289570e-1,9.2915029361e1,2.795674e2,26,9.2915029361e1,3.4546069889e1,3.3235289570e-1,2.689598e0,2.795674e2,0.01
2,32,0.000000,locked_plus,0,-1.1102230246e-16,2.6027594226e0,2.0465327837e2,4.266e-17,-1.1102230246e-16,1.7312850798e2,1.559403e18,26,1.7312850798e2,2.6027594226e0,-1.1102230246e-16,6.651729e1,1.559403e18,0.00
2,32,0.000000,locked_quad,0,-8.8817841970e-16,4.5803992337e1,1.1197151006e2,1.939e-17,-5.2307101433e0,9.1772648602e1,1.754497e1,26,9.1772648602e1,3.8940289032e1,-5.2307101433e0,2.356753e0,1.754497e1,0.01
2,32,0.000000,arith,0,-3.8857805862e-16,2.7110687256e1,1.1950161731e2,1.433e-17,1.3822822157e0,1.0601397266e2,7.669488e1,26,1.0601397266e2,2.5488767924e1,1.3822822157e0,4.159243e0,7.669488e1,0.01
2,32,1.833333,random,1,2.6367796835e-16,6.4631098944e0,1.4435192181e1,4.080e-17,6.8035794866e-1,9.7992436476e0,1.440307e1,26,9.7992436476e0,3.8949769041e0,6.8035794866e-1,2.515867e0,1.440307e1,0.00
2,32,1.833333,random,2,-3.2612801348e-16,6.3715891601e0,1.7788850279e1,5.118e-17,1.9035557385e-1,1.1245935269e1,5.907857e1,26,1.1245935269e1,3.2761943334e0,1.9035557385e-1,3.432622e0,5.907857e1,0.00
2,32,1.833333,random,3,9.0205620751e-17,8.3676040665e0,2.0053236097e1,1.078e-17,-6.7472152058e-2,1.3175648547e1,1.952754e2,26,1.3175648547e1,5.1453325564e0,-6.7472152058e-2,2.560699e0,1.952754e2,0.00
2,32,1.833333,locked_plus,0,1.8735013541e-16,4.8955009717e-1,3.5059492078e1,3.827e-16,2.7755575616e-16,2.4367474564e1,8.779308e16,26,2.4367474564e1,4.8955009717e-1,2.7755575616e-16,4.977524e1,8.779308e16,0.00
