M,n_modes,class,n_triads,sum_absC,sum_C_re,sum_C_im,D_c,secs
2,32,+++,426,7.9310792668e1,-4.7184478547e-16,-1.3322676296e-15,5.611524e16,0.00
2,32,++-,426,2.4151972586e2,2.1094237468e-15,-2.3314683517e-15,7.681662e16,0.00
2,32,+-+,426,2.4151972586e2,1.2212453271e-15,-1.1102230246e-15,1.463343e17,0.00
2,32,+--,426,2.8399104422e1,1.1102230246e-16,-2.2204460493e-16,1.143956e17,0.00
2,32,-++,426,2.8399104422e1,-1.1102230246e-16,-2.2204460493e-16,1.143956e17,0.00
2,32,-+-,426,2.4151972586e2,-1.2212453271e-15,-1.1102230246e-15,1.463343e17,0.00
2,32,--+,426,2.4151972586e2,-2.1094237468e-15,-2.3314683517e-15,7.681662e16,0.00
2,32,---,426,7.9310792668e1,4.7184478547e-16,-1.3322676296e-15,5.611524e16,0.00
2,32,ALL,3408,1.1814986976e3,0.0000000000e0,-9.9920072216e-15,1.182444e17,0.00
3,122,+++,6642,2.5091833329e3,-1.2434497876e-14,3.5527136788e-14,6.666210e16,0.01
3,122,++-,6642,5.4509324369e3,3.1974423109e-14,-4.2632564146e-14,1.022867e17,0.01
3,122,+-+,6642,5.4509324369e3,2.4868995752e-14,-1.4210854715e-14,1.903066e17,0.01
3,122,+--,6642,7.4673077769e2,-5.3290705182e-15,7.9936057773e-15,7.772682e16,0.01
3,122,-++,6642,7.4673077769e2,5.3290705182e-15,7.9936057773e-15,7.772682e16,0.01
3,122,-+-,6642,5.4509324369e3,-2.4868995752e-14,-1.4210854715e-14,1.903066e17,0.01
3,122,--+,6642,5.4509324369e3,-3.1974423109e-14,-4.2632564146e-14,1.022867e17,0.01
3,122,---,6642,2.5091833329e3,1.2434497876e-14,3.5527136788e-14,6.666210e16,0.01
3,122,ALL,53136,2.8315557969e4,0.0000000000e0,-2.6645352591e-14,1.062683e18,0.01
4,256,+++,30360,1.4701683070e4,-4.9960036108e-14,-1.7053025658e-13,8.273410e16,0.01
4,256,++-,30360,3.1643804911e4,-1.2168044350e-13,-6.2527760747e-13,4.967574e16,0.01
4,256,+-+,30360,3.1643804911e4,2.5668356329e-13,-7.1054273576e-13,4.188542e16,0.01
4,256,+--,30360,4.2432664673e3,-7.1054273576e-15,-1.4210854715e-14,2.670700e17,0.01
4,256,-++,30360,4.2432664673e3,7.1054273576e-15,-1.4210854715e-14,2.670700e17,0.01
4,256,-+-,30360,3.1643804911e4,-2.5668356329e-13,-7.1054273576e-13,4.188542e16,0.01
4,256,--+,30360,3.1643804911e4,1.2168044350e-13,-6.2527760747e-13,4.967574e16,0.01
4,256,---,30360,1.4701683070e4,4.9960036108e-14,-1.7053025658e-13,8.273410e16,0.01
