== scout: M=2 ic=adv nu=0.05 dt=0.0005 steps=12000 lambda=0.05 E0=144 engine=fft modes=33 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,4.357101449e2,1.453217391e3,-1.165407202e2,3.568e-14,-5.349461,-1.603899
20,0.010000,1.435662360e2,4.317652734e2,1.433232309e3,-1.333213805e2,9.797e-14,-6.175642,-1.860429
40,0.020000,1.431365683e2,4.275241792e2,1.411462571e3,-1.481872036e2,1.051e-13,-6.932343,-2.099768
60,0.030000,1.427112718e2,4.230308442e2,1.388181840e3,-1.607302671e2,1.849e-13,-7.598986,-2.315695
80,0.040000,1.422905734e2,4.183373507e2,1.363705206e3,-1.705212076e2,1.799e-13,-8.152330,-2.500851
100,0.050000,1.418746438e2,4.135040957e2,1.338389977e3,-1.771285487e2,2.393e-13,-8.567197,-2.646890
120,0.060000,1.414635891e2,4.085994972e2,1.312634133e3,-1.801500677e2,2.804e-13,-8.817929,-2.744863
140,0.070000,1.410574435e2,4.036989666e2,1.286871147e3,-1.792546971e2,2.494e-13,-8.880612,-2.785900
160,0.080000,1.406561630e2,3.988829754e2,1.261560093e3,-1.742311423e2,3.180e-13,-8.735953,-2.762154
180,0.090000,1.402596218e2,3.942341439e2,1.237170526e3,-1.650371066e2,2.970e-13,-8.372543,-2.667977
200,0.100000,1.398676119e2,3.898334214e2,1.214162317e3,-1.518412505e2,3.035e-13,-7.790058,-2.501169
220,0.110000,1.394798472e2,3.857555940e2,1.192961618e3,-1.350493137e2,2.868e-13,-7.001807,-2.264102
240,0.120000,1.390959716e2,3.820645193e2,1.173935007e3,-1.153067172e2,4.199e-13,-6.035981,-1.964448
260,0.130000,1.387155729e2,3.788086145e2,1.157364665e3,-9.347264444e1,3.674e-13,-4.935085,-1.615267
280,0.140000,1.383381994e2,3.760171809e2,1.143427769e3,-7.056489270e1,4.859e-13,-3.753280,-1.234269
300,0.150000,1.379633808e2,3.736981087e2,1.132183173e3,-4.767996503e1,4.184e-13,-2.551791,-0.842266
320,0.160000,1.375906501e2,3.718373606e2,1.123567690e3,-2.589783374e1,5.276e-13,-1.392966,-0.460993
340,0.170000,1.372195646e2,3.704004061e2,1.117403068e3,-6.184302332e0,4.555e-13,-0.333925,-0.110691
360,0.180000,1.368497252e2,3.693355029e2,1.113413261e3,1.069505758e1,4.766e-13,0.579151,0.192113
380,0.190000,1.364807909e2,3.685784583e2,1.111250097e3,2.423719509e1,4.273e-13,1.315172,0.436215
400,0.200000,1.361124893e2,3.680582981e2,1.110524303e3,3.423211809e1,4.915e-13,1.860147,0.616504
420,0.210000,1.357446194e2,3.677031727e2,1.110838210e3,4.075932881e1,4.473e-13,2.216969,0.733848
440,0.220000,1.353770504e2,3.674458424e2,1.111816501e3,4.415346482e1,4.369e-13,2.403264,0.794258
460,0.230000,1.350097146e2,3.672282002e2,1.113131934e3,4.494688605e1,3.895e-13,2.447899,0.807575
480,0.240000,1.346425962e2,3.670044777e2,1.114523977e3,4.379934978e1,5.221e-13,2.386856,0.785974
500,0.250000,1.342757184e2,3.667429877e2,1.115809415e3,4.142510850e1,4.705e-13,2.259081,0.742512
520,0.260000,1.339091287e2,3.664264511e2,1.116885066e3,3.852613543e1,4.429e-13,2.102803,0.689885
540,0.270000,1.335428852e2,3.660511022e2,1.117723577e3,3.573746238e1,4.968e-13,1.952594,0.639469
560,0.280000,1.331770436e2,3.656248573e2,1.118363776e3,3.358761420e1,4.381e-13,1.837272,0.600656
580,0.290000,1.328116468e2,3.651648584e2,1.118897283e3,3.247450415e1,4.052e-13,1.778622,0.580473
600,0.300000,1.324467173e2,3.646946930e2,1.119453030e3,3.265530458e1,4.200e-13,1.790830,0.583415
620,0.310000,1.320822518e2,3.642415475e2,1.120181125e3,3.424782933e1,3.267e-13,1.880501,0.611469
640,0.320000,1.317182192e2,3.638334955e2,1.121237271e3,3.724073211e1,2.692e-13,2.047130,0.664279
660,0.330000,1.313545609e2,3.634970737e2,1.122768624e3,4.151008637e1,3.623e-13,2.283930,0.739424
680,0.340000,1.309911934e2,3.632552488e2,1.124901787e3,4.684038228e1,2.912e-13,2.578924,0.832791
700,0.350000,1.306280128e2,3.631258465e2,1.127733406e3,5.294842143e1,3.371e-13,2.916257,0.939024
720,0.360000,1.302649003e2,3.631204851e2,1.131323687e3,5.950886461e1,2.900e-13,3.277637,1.052022
740,0.370000,1.299017288e2,3.632440311e2,1.135693012e3,6.618025450e1,3.855e-13,3.643845,1.165460
760,0.380000,1.295383699e2,3.634945725e2,1.140821634e3,7.263024268e1,2.650e-13,3.996222,1.273297
780,0.390000,1.291747000e2,3.638638741e2,1.146652300e3,7.855860648e1,3.111e-13,4.318022,1.370225
800,0.400000,1.288106070e2,3.643382569e2,1.153095418e3,8.371656681e1,3.021e-13,4.595541,1.452032
820,0.410000,1.284459944e2,3.648998066e2,1.160036241e3,8.792101068e1,3.590e-13,4.818912,1.515832
840,0.420000,1.280807853e2,3.655277996e2,1.167343360e3,9.106252539e1,4.057e-13,4.982523,1.560167
860,0.430000,1.277149240e2,3.662002136e2,1.174877724e3,9.310664960e1,3.872e-13,5.085013,1.584959
880,0.440000,1.273483773e2,3.668951848e2,1.182501369e3,9.408836862e1,3.714e-13,5.128896,1.591345
900,0.450000,1.269811330e2,3.675922861e2,1.190085095e3,9.410053095e1,3.476e-13,5.119832,1.581408
920,0.460000,1.266131981e2,3.682735143e2,1.197514443e3,9.327743995e1,4.101e-13,5.065661,1.557851
940,0.470000,1.262445963e2,3.689239112e2,1.204693527e3,9.177530609e1,4.602e-13,4.975297,1.523629
960,0.480000,1.258753645e2,3.695317748e2,1.211546453e3,8.975149100e1,4.465e-13,4.857579,1.481602
980,0.490000,1.255055498e2,3.700884597e2,1.218016332e3,8.734453194e1,4.505e-13,4.720198,1.434210
1000,0.500000,1.251352067e2,3.705878043e2,1.224062066e3,8.465682103e1,5.348e-13,4.568786,1.383211
1020,0.510000,1.247643948e2,3.710252557e2,1.229653331e3,8.174155515e1,5.772e-13,4.406253,1.329506
