== scout: M=4 ic=null nu=0.05 dt=0.0005 steps=12000 lambda=0.05 E0=144 engine=fft modes=257 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.662363208e3,2.053709489e4,1.969009309e2,-1.563e-13,2.368928,0.191751
20,0.010000,1.423469834e2,1.642624685e3,2.028871426e4,-1.281301669e2,-2.842e-14,-1.560066,-0.126307
40,0.020000,1.407167585e2,1.616897247e3,1.993079174e4,-4.236716941e2,1.080e-12,-5.240552,-0.425143
60,0.030000,1.391148084e2,1.586331193e3,1.948442276e4,-6.472516282e2,1.478e-12,-8.160359,-0.664379
80,0.040000,1.375451299e2,1.552667340e3,1.898129057e4,-7.800624886e2,1.762e-12,-10.048031,-0.821928
100,0.050000,1.360098844e2,1.517762112e3,1.845500711e4,-8.251478416e2,2.046e-12,-10.873217,-0.894227
120,0.060000,1.345094819e2,1.483210935e3,1.793432640e4,-8.013121022e2,2.814e-12,-10.805100,-0.893607
140,0.070000,1.330429732e2,1.450107456e3,1.743880219e4,-7.362570477e2,2.785e-12,-10.154517,-0.844389
160,0.080000,1.316086109e2,1.418954486e3,1.697719116e4,-6.585225093e2,3.126e-12,-9.281799,-0.775773
180,0.090000,1.302044146e2,1.389739859e3,1.654888754e4,-5.895555269e2,3.382e-12,-8.484401,-0.712502
200,0.100000,1.288285928e2,1.362137823e3,1.614767013e4,-5.393681398e2,3.922e-12,-7.919436,-0.668045
220,0.110000,1.274797387e2,1.335739898e3,1.576596878e4,-5.074915143e2,4.093e-12,-7.598658,-0.643781
240,0.120000,1.261568212e2,1.310222701e3,1.539793069e4,-4.874303574e2,4.377e-12,-7.440420,-0.633112
260,0.130000,1.248590578e2,1.285416914e3,1.504063140e4,-4.713872783e2,4.377e-12,-7.334387,-0.626818
280,0.140000,1.235857598e2,1.261297068e3,1.469381141e4,-4.532532999e2,4.860e-12,-7.187098,-0.616931
300,0.150000,1.223362125e2,1.237931646e3,1.435888598e4,-4.297507133e2,5.258e-12,-6.943044,-0.598585
320,0.160000,1.211096105e2,1.215423492e3,1.403779553e4,-4.005062159e2,5.173e-12,-6.590398,-0.570611
340,0.170000,1.199050515e2,1.193855263e3,1.373197788e4,-3.676354642e2,5.429e-12,-6.158795,-0.535444
360,0.180000,1.187215788e2,1.173247894e3,1.344161199e4,-3.349392942e2,5.613e-12,-5.709608,-0.498362
380,0.190000,1.175582551e2,1.153539984e3,1.316527564e4,-3.066777673e2,5.684e-12,-5.317159,-0.465889
400,0.200000,1.164142441e2,1.134594617e3,1.290012681e4,-2.861214375e2,5.656e-12,-5.043589,-0.443595
420,0.210000,1.152888713e2,1.116233223e3,1.264258863e4,-2.743381259e2,5.869e-12,-4.915427,-0.433990
440,0.220000,1.141816402e2,1.098286455e3,1.238934173e4,-2.696807193e2,5.890e-12,-4.910936,-0.435343
460,0.230000,1.130921976e2,1.080645306e3,1.213830823e4,-2.681751442e2,6.096e-12,-4.963241,-0.441866
480,0.240000,1.120202535e2,1.063295774e3,1.188931625e4,-2.646372296e2,6.040e-12,-4.977679,-0.445168
500,0.250000,1.109654801e2,1.046327012e3,1.164425842e4,-2.540807949e2,6.239e-12,-4.856623,-0.436405
