== scout: M=8 ic=adv nu=0.05 dt=0.0005 steps=12000 lambda=-0.05 E0=144 engine=fft modes=2109 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,6.931937194e3,3.541327369e5,7.286794014e4,-1.782e-11,210.238316,4.115290
20,0.010000,1.370399085e2,6.587658867e3,3.458961035e5,-3.893727687e4,1.372e-10,-118.212790,-2.251386
40,0.020000,1.309413237e2,5.699695113e3,2.841293006e5,-1.774748669e4,1.901e-10,-62.275214,-1.249254
60,0.030000,1.255214156e2,5.168392371e3,2.504966017e5,-1.064687291e4,1.883e-10,-41.199940,-0.850061
80,0.040000,1.205732810e2,4.739663197e3,2.254824117e5,-8.131999383e3,1.669e-10,-34.314672,-0.721298
100,0.050000,1.160041139e2,4.424766167e3,2.072349535e5,-1.477079236e3,1.329e-10,-6.676417,-0.142551
120,0.060000,1.116805744e2,4.233348023e3,1.983347602e5,1.450607501e3,1.319e-10,6.853240,0.146279
140,0.070000,1.075321637e2,4.062808128e3,1.901410317e5,9.087528986e2,1.472e-10,4.473521,0.095587
160,0.080000,1.035549445e2,3.891999734e3,1.806562654e5,5.348775871e2,1.428e-10,2.748600,0.059215
180,0.090000,9.974764019e1,3.723048333e3,1.709946681e5,1.733047050e2,1.232e-10,0.930983,0.020270
200,0.100000,9.610864892e1,3.553896331e3,1.618781078e5,-5.921272149e2,1.024e-10,-3.332271,-0.073157
220,0.110000,9.264381893e1,3.374118759e3,1.526026887e5,-1.510667734e3,8.457e-11,-8.954443,-0.197987
240,0.120000,8.935909786e1,3.198640645e3,1.438120745e5,-9.776816280e2,8.169e-11,-6.113107,-0.135967
260,0.130000,8.623679567e1,3.051203487e3,1.368960049e5,2.276520939e2,9.087e-11,1.492212,0.033259
280,0.140000,8.324785775e1,2.930041100e3,1.315759782e5,9.758983742e2,1.009e-10,6.661329,0.148340
300,0.150000,8.037183889e1,2.823611912e3,1.270078069e5,1.232714481e3,1.044e-10,8.731472,0.194116
320,0.160000,7.759886136e1,2.722642473e3,1.224651746e5,1.103769549e3,1.032e-10,8.108076,0.180259
340,0.170000,7.492621675e1,2.623028039e3,1.175902647e5,9.785179888e2,1.011e-10,7.460980,0.166428
360,0.180000,7.235114176e1,2.528348222e3,1.128403918e5,1.105027349e3,1.023e-10,8.741101,0.195857
380,0.190000,6.986668057e1,2.442063858e3,1.086937332e5,1.342092018e3,1.041e-10,10.991457,0.246949
400,0.200000,6.746420388e1,2.364121074e3,1.052168720e5,1.536356154e3,1.054e-10,12.997271,0.292036
420,0.210000,6.513647669e1,2.292059348e3,1.022342427e5,1.605637294e3,1.051e-10,14.010434,0.314109
