== scout: M=16 ic=adv nu=0.05 dt=0.000125 steps=48000 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
80,0.010000,1.208460507e2,1.837032729e4,3.419871404e6,-6.016186227e4,4.032e-9,-65.498955,-0.351837
160,0.020000,1.040234690e2,1.554018166e4,2.854235883e6,-2.148271254e4,3.753e-9,-27.647955,-0.150532
240,0.030000,8.987343060e1,1.310316819e4,2.433037699e6,4.774512476e4,4.292e-9,72.875696,0.392473
320,0.040000,7.746879388e1,1.167904367e4,2.200809196e6,2.866010446e4,2.390e-9,49.079540,0.260451
400,0.050000,6.661897573e1,9.978244103e3,1.853339397e6,2.341244322e3,-1.687e-11,4.692698,0.025265
480,0.060000,5.751069471e1,8.341586261e3,1.515510646e6,1.590097250e4,-1.379e-9,38.124577,0.209843
560,0.070000,4.971668207e1,7.217179641e3,1.325430965e6,4.107921239e3,-2.772e-9,11.383730,0.061986
640,0.080000,4.306784610e1,6.157109479e3,1.117100542e6,1.360428219e4,-2.811e-9,44.190483,0.243564
720,0.090000,3.731919342e1,5.341489389e3,9.645483334e5,7.434142481e3,-2.862e-9,27.835467,0.154148
800,0.100000,3.237408311e1,4.564934292e3,8.161682890e5,4.622879531e3,-3.237e-9,20.253871,0.113283
880,0.110000,2.815374266e1,3.892105449e3,6.872902995e5,3.121061055e3,-2.825e-9,16.037906,0.090822
960,0.120000,2.455846787e1,3.314203149e3,5.752332256e5,2.257677459e3,-2.560e-9,13.624255,0.078496
1040,0.130000,2.149274186e1,2.833652799e3,4.850191174e5,2.630590207e3,-2.098e-9,18.566779,0.108474
1120,0.140000,1.886180433e1,2.440171012e3,4.155038470e5,2.742297315e3,-1.123e-9,22.476272,0.131999
1200,0.150000,1.659382297e1,2.103284161e3,3.563613923e5,2.058033439e3,-4.031e-10,19.569714,0.115503
1280,0.160000,1.464099446e1,1.809848071e3,3.034910011e5,1.664332046e3,-6.196e-10,18.391953,0.109679
1360,0.170000,1.295766880e1,1.565509300e3,2.593630420e5,2.051315948e3,-8.669e-10,26.206372,0.158181
1440,0.180000,1.149366047e1,1.369333577e3,2.249524646e5,2.373424875e3,-2.967e-10,34.665401,0.211016
1520,0.190000,1.020860686e1,1.204764193e3,1.969830260e5,2.182890926e3,8.391e-10,36.237646,0.221632
1600,0.200000,9.077388444e0,1.060584231e3,1.728467441e5,1.851514169e3,1.854e-9,34.914986,0.214238
1680,0.210000,8.082254276e0,9.320637166e2,1.513524044e5,1.493046476e3,2.261e-9,32.037434,0.197294
1760,0.220000,7.208662606e0,8.173789195e2,1.319912863e5,1.202569517e3,2.093e-9,29.425019,0.182220
1840,0.230000,6.443065167e0,7.159662195e2,1.146717852e5,9.813218931e2,1.608e-9,27.412519,0.171153
1920,0.240000,5.772600160e0,6.269430977e2,9.935413838e4,8.093363087e2,1.093e-9,25.818493,0.162919
2000,0.250000,5.185384094e0,5.493031883e2,8.601736094e4,6.865673212e2,7.024e-10,24.997755,0.159635
2080,0.260000,4.670551082e0,4.819828471e2,7.457820132e4,6.004242229e2,4.543e-10,24.914755,0.161019
2160,0.270000,4.218402187e0,4.237078010e2,6.481863822e4,5.303540593e2,3.058e-10,25.033953,0.163642
2240,0.280000,3.820574548e0,3.731222379e2,5.644411438e4,4.642967517e2,2.152e-10,24.887112,0.164516
2320,0.290000,3.469992106e0,3.290431702e2,4.919057200e4,4.019917531e2,1.562e-10,24.433982,0.163443
2400,0.300000,3.160626225e0,2.905568298e2,4.287340336e4,3.467272590e2,1.101e-10,23.866399,0.161745
2480,0.310000,2.887252702e0,2.569509767e2,3.737138711e4,2.999050985e2,6.867e-11,23.343371,0.160500
2560,0.320000,2.645300501e0,2.276180459e2,3.259231570e4,2.603777680e2,3.140e-11,22.878482,0.159779
2640,0.330000,2.430776970e0,2.020059110e2,2.845060866e4,2.264140131e2,-6.559e-13,22.416573,0.159163
2720,0.340000,2.240214462e0,1.796186150e2,2.486450969e4,1.970158791e2,-2.730e-11,21.937134,0.158472
2800,0.350000,2.070609491e0,1.600241069e2,2.175949703e4,1.716467314e2,-4.894e-11,21.452609,0.157767
2880,0.360000,1.919359656e0,1.428511446e2,1.906963124e4,1.498687514e2,-6.625e-11,20.982506,0.157181
2960,0.370000,1.784206595e0,1.277814802e2,1.673747803e4,1.312449248e2,-7.976e-11,20.542089,0.156828
3040,0.380000,1.663187272e0,1.145413138e2,1.471332592e4,1.153099265e2,-8.962e-11,20.134207,0.156742
3120,0.390000,1.554593405e0,1.028938839e2,1.295420693e4,1.016179936e2,-9.578e-11,19.751999,0.156888
3200,0.400000,1.456937263e0,9.263409066e1,1.142316910e4,8.979416927e1,-9.851e-11,19.386852,0.157214
3280,0.410000,1.368922159e0,8.358428068e1,1.008862110e4,7.953428022e1,-9.850e-11,19.030918,0.157671
3360,0.420000,1.289416909e0,7.559053153e1,8.923623062e3,7.059387262e1,-9.667e-11,18.677967,0.158218
3440,0.430000,1.217433730e0,6.851947426e1,7.905242620e3,6.278266833e1,-9.388e-11,18.325496,0.158838
3520,0.440000,1.152109092e0,6.225552949e1,7.013982823e3,5.594984417e1,-9.075e-11,17.974257,0.159538
3600,0.450000,1.092687224e0,5.669835406e1,6.233213321e3,4.996585248e1,-8.766e-11,17.625151,0.160321
3680,0.460000,1.038506040e0,5.176057904e1,5.548641117e3,4.471541550e1,-8.477e-11,17.277788,0.161176
3760,0.470000,9.889851118e-1,4.736599056e1,4.947899607e3,4.009971477e1,-8.209e-11,16.931859,0.162088
3840,0.480000,9.436152536e-1,4.344810234e1,4.420258606e3,3.603722871e1,-7.956e-11,16.588632,0.163055
3920,0.490000,9.019494118e-1,3.994894730e1,3.956400281e3,3.245984909e1,-7.705e-11,16.250666,0.164088
4000,0.500000,8.635947001e-1,3.681798295e1,3.548221467e3,2.930798574e1,-7.446e-11,15.920473,0.165198
4080,0.510000,8.282054787e-1,3.401110568e1,3.188658318e3,2.652787869e1,-7.170e-11,15.599539,0.166389
4160,0.520000,7.954773536e-1,3.148979547e1,2.871540314e3,2.407101969e1,-6.872e-11,15.288140,0.167652
4240,0.530000,7.651419667e-1,2.922038921e1,2.591473019e3,2.189424854e1,-6.554e-11,14.985597,0.168971
4320,0.540000,7.369624569e-1,2.717346094e1,2.343742486e3,1.995972347e1,-6.218e-11,14.690601,0.170324
4400,0.550000,7.107294959e-1,2.532328727e1,2.124234867e3,1.823473859e1,-5.868e-11,14.401557,0.171683
4480,0.560000,6.862578239e-1,2.364738313e1,1.929367647e3,1.669149962e1,-5.512e-11,14.116995,0.173026
4560,0.570000,6.633832180e-1,2.212609610e1,1.756029986e3,1.530679749e1,-5.153e-11,13.835968,0.174334
4640,0.580000,6.419598424e-1,2.074224854e1,1.601529314e3,1.406146365e1,-4.798e-11,13.558283,0.175600
4720,0.590000,6.218579360e-1,1.948081798e1,1.463541411e3,1.293961119e1,-4.450e-11,13.284464,0.176826
4800,0.600000,6.029618034e-1,1.832865013e1,1.340062545e3,1.192780442e1,-4.113e-11,13.015475,0.178019
4880,0.610000,5.851680776e-1,1.727420291e1,1.229363869e3,1.101433574e1,-3.791e-11,12.752352,0.179188
