== scout: M=16 ic=adv nu=0.05 dt=0.00025 steps=24000 lambda=0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,-1.474148314e6,1.585e-10,-1041.308470,-5.015864
40,0.010000,1.214535905e2,2.051921057e4,4.022473268e6,-1.840489737e5,4.575e-9,-179.391866,-0.915104
80,0.020000,1.037450532e2,1.594136422e4,2.964100510e6,2.554155917e4,4.634e-9,32.044383,0.172339
120,0.030000,8.921423343e1,1.310569087e4,2.425340497e6,2.403338402e4,4.156e-9,36.676257,0.198186
160,0.040000,7.700467695e1,1.134092929e4,2.063844518e6,2.244852707e4,3.539e-9,39.588514,0.217541
200,0.050000,6.642044753e1,9.862095174e3,1.802694005e6,1.509088268e4,2.212e-9,30.603807,0.167426
240,0.060000,5.730666557e1,8.439063157e3,1.555489898e6,2.065894709e4,1.514e-9,48.960286,0.265626
280,0.070000,4.942360989e1,7.312460581e3,1.350580119e6,9.616164948e3,8.964e-10,26.300764,0.142401
320,0.080000,4.266227888e1,6.233986355e3,1.142149852e6,5.762818663e3,8.487e-10,18.488390,0.100912
360,0.090000,3.693116022e1,5.246406975e3,9.434468624e5,1.379000784e3,1.359e-9,5.256934,0.029233
400,0.100000,3.210161095e1,4.455469301e3,7.896920111e5,6.091292057e3,2.516e-9,27.342987,0.154270
440,0.110000,2.795459557e1,3.857566195e3,6.850886669e5,6.758477170e3,2.762e-9,35.040110,0.197302
480,0.120000,2.436144980e1,3.338246276e3,5.922253406e5,4.979163821e3,2.055e-9,29.831016,0.168151
520,0.130000,2.126210547e1,2.868092349e3,5.049997670e5,2.968193116e3,1.354e-9,20.698030,0.117552
560,0.140000,1.860557717e1,2.457435328e3,4.275517959e5,2.789930957e3,7.894e-10,22.706038,0.130507
600,0.150000,1.632132582e1,2.122803234e3,3.659096426e5,3.215991445e3,6.037e-10,30.299478,0.175781
640,0.160000,1.434076236e1,1.845991723e3,3.165802641e5,3.058690041e3,8.135e-10,33.138719,0.193233
680,0.170000,1.261690384e1,1.606801252e3,2.743337189e5,2.478128783e3,1.003e-9,30.845492,0.180665
720,0.180000,1.111826676e1,1.394618314e3,2.365271927e5,1.836479127e3,9.713e-10,26.336656,0.155287
760,0.190000,9.819381902e0,1.207339894e3,2.029801825e5,1.413833993e3,8.915e-10,23.420646,0.139308
800,0.200000,8.695288785e0,1.044861790e3,1.740245063e5,1.169041875e3,8.434e-10,22.376967,0.134354
840,0.210000,7.722091167e0,9.050549188e2,1.493487586e5,9.915511959e2,7.715e-10,21.911404,0.132783
880,0.220000,6.878680245e0,7.847555299e2,1.282979847e5,8.361734572e2,6.576e-10,21.310419,0.130349
920,0.230000,6.147060557e0,6.810382980e2,1.102493006e5,7.005773465e2,5.226e-10,20.573802,0.127090
960,0.240000,5.511845552e0,5.916105922e2,9.474371344e4,5.912084567e2,3.925e-10,19.986405,0.124802
1000,0.250000,4.959692087e0,5.146299956e2,8.144116755e4,5.062487357e2,2.832e-10,19.674280,0.124323
1040,0.260000,4.478988086e0,4.484456827e2,7.004477909e4,4.368744632e2,1.959e-10,19.483941,0.124741
1080,0.270000,4.059710859e0,3.915376769e2,6.027969260e4,3.774659560e2,1.237e-10,19.281207,0.125238
1120,0.280000,3.693266296e0,3.425756850e2,5.191111812e4,3.264696269e2,5.934e-11,19.059708,0.125780
1160,0.290000,3.372289625e0,3.004294192e2,4.474572915e4,2.838684408e2,6.135e-13,18.897513,0.126881
1200,0.300000,3.090453701e0,2.641490919e2,3.862542539e4,2.499438997e2,-5.053e-11,18.924456,0.129419
1240,0.310000,2.842307411e0,2.329237603e2,3.341507307e4,2.235682572e2,-9.128e-11,19.196690,0.133813
1280,0.320000,2.623161703e0,2.060341961e2,2.898803827e4,2.022393640e2,-1.203e-10,19.631631,0.139533
1320,0.330000,2.429009952e0,1.828345046e2,2.522256093e4,1.835965903e2,-1.379e-10,20.083363,0.145581
1360,0.340000,2.256452436e0,1.627585179e2,2.200793664e4,1.663358713e2,-1.456e-10,20.439590,0.151160
1400,0.350000,2.102612525e0,1.453264726e2,1.925064034e4,1.500853104e2,-1.451e-10,20.654917,0.155928
1440,0.360000,1.965051521e0,1.301406706e2,1.687549130e4,1.349210013e2,-1.387e-10,20.734641,0.159902
1480,0.370000,1.841692336e0,1.168732660e2,1.482302085e4,1.210085756e2,-1.285e-10,20.707657,0.163271
1520,0.380000,1.730756634e0,1.052523819e2,1.304567760e4,1.084463863e2,-1.164e-10,20.606923,0.166256
1560,0.390000,1.630715081e0,9.505012317e1,1.150447943e4,9.723213356e1,-1.040e-10,20.459128,0.169034
1600,0.400000,1.540248178e0,8.607342403e1,1.016661050e4,8.728257618e1,-9.210e-11,20.280958,0.171704
1640,0.410000,1.458214922e0,7.815743724e1,9.003905900e3,7.846948459e1,-8.127e-11,20.079851,0.174301
1680,0.420000,1.383627072e0,7.116081145e1,7.991980398e3,7.065329778e1,-7.163e-11,19.857361,0.176810
1720,0.430000,1.315627485e0,6.496219876e1,7.109732411e3,6.370534849e1,-6.313e-11,19.613052,0.179206
1760,0.440000,1.253471542e0,5.945747558e1,6.339007418e3,5.751707182e1,-5.569e-11,19.347297,0.181470
1800,0.450000,1.196511139e0,5.455735902e1,5.664292712e3,5.199977955e1,-4.919e-11,19.062425,0.183606
1840,0.460000,1.144180932e0,5.018527853e1,5.072397455e3,4.708005243e1,-4.352e-11,18.762495,0.185632
1880,0.470000,1.095986592e0,4.627547165e1,4.552123172e3,4.269460970e1,-3.860e-11,18.452371,0.187581
1920,0.480000,1.051494858e0,4.277131402e1,4.093948054e3,3.878656868e1,-3.433e-11,18.136721,0.189482
1960,0.490000,1.010325124e0,3.962389238e1,3.689745823e3,3.530348895e1,-3.065e-11,17.819294,0.191360
2000,0.500000,9.721423536e-1,3.679081237e1,3.332549367e3,3.219679118e1,-2.748e-11,17.502626,0.193226
2040,0.510000,9.366510574e-1,3.423521663e1,3.016359253e3,2.942190320e1,-2.476e-11,17.188092,0.195082
2080,0.520000,9.035901791e-1,3.192497979e1,2.735991037e3,2.693858027e1,-2.243e-11,16.876177,0.196920
2120,0.530000,8.727287026e-1,2.983204539e1,2.486953056e3,2.471107548e1,-2.042e-11,16.566799,0.198726
2160,0.540000,8.438618678e-1,2.793187403e1,2.265347027e3,2.270805808e1,-1.868e-11,16.259602,0.200482
2200,0.550000,8.168078922e-1,2.620297807e1,2.067785590e3,2.090232114e1,-1.716e-11,15.954157,0.202171
2240,0.560000,7.914051230e-1,2.462652489e1,1.891322870e3,1.927037237e1,-1.583e-11,15.650095,0.203777
2280,0.570000,7.675095568e-1,2.318599561e1,1.733395492e3,1.779199170e1,-1.465e-11,15.347188,0.205285
2320,0.580000,7.449926769e-1,2.186688948e1,1.591772263e3,1.644980438e1,-1.359e-11,15.045399,0.206685
2360,0.590000,7.237395671e-1,2.065646672e1,1.464511035e3,1.522888691e1,-1.264e-11,14.744910,0.207972
2400,0.600000,7.036472650e-1,1.954352395e1,1.349921488e3,1.411640643e1,-1.177e-11,14.446122,0.209144
2440,0.610000,6.846233268e-1,1.851819732e1,1.246532675e3,1.310129086e1,-1.097e-11,14.149640,0.210204
2480,0.620000,6.665845752e-1,1.757178997e1,1.153064461e3,1.217393025e1,-1.024e-11,13.856221,0.211158
2520,0.630000,6.494560106e-1,1.669662061e1,1.068402200e3,1.132591300e1,-9.555e-12,13.566713,0.212016
2560,0.640000,6.331698625e-1,1.588589121e1,9.915742563e2,1.054980215e1,-8.923e-12,13.281977,0.212789
2600,0.650000,6.176647656e-1,1.513357170e1,9.217321353e2,9.838954413e0,-8.336e-12,13.002819,0.213488
2640,0.660000,6.028850429e-1,1.443430015e1,8.581330716e2,9.187381216e0,-7.789e-12,12.729930,0.214125
2680,0.670000,5.887800816e-1,1.378329684e1,8.001249564e2,8.589647563e0,-7.279e-12,12.463851,0.214708
2720,0.680000,5.753037885e-1,1.317629050e1,7.471334472e2,8.040801401e0,-6.803e-12,12.204955,0.215244
2760,0.690000,5.624141145e-1,1.260945531e1,6.986510665e2,7.536325345e0,-6.358e-12,11.953451,0.215739
2800,0.700000,5.500726361e-1,1.207935708e1,6.542280591e2,7.072102771e0,-5.943e-12,11.709403,0.216197
2840,0.710000,5.382441876e-1,1.158290721e1,6.134647519e2,6.644391657e0,-5.554e-12,11.472753,0.216619
2880,0.720000,5.268965361e-1,1.111732316e1,5.760051682e2,6.249801473e0,-5.189e-12,11.243357,0.217005
2920,0.730000,5.160000923e-1,1.068009428e1,5.415316610e2,5.885270299e0,-4.847e-12,11.021008,0.217356
2960,0.740000,5.055276543e-1,1.026895219e1,5.097603671e2,5.548041010e0,-4.525e-12,10.805467,0.217673
3000,0.750000,4.954541785e-1,9.881844840e0,4.804373156e2,5.235636481e0,-4.223e-12,10.596476,0.217953
3040,0.760000,4.857565745e-1,9.516913648e0,4.533350645e2,4.945834387e0,-3.939e-12,10.393778,0.218198
3080,0.770000,4.764135226e-1,9.172473357e0,4.282497663e2,4.676642399e0,-3.671e-12,10.197124,0.218407
3120,0.780000,4.674053090e-1,8.846994098e0,4.049985920e2,4.426274485e0,-3.419e-12,10.006279,0.218582
3160,0.790000,4.587136789e-1,8.539085437e0,3.834174558e2,4.193128821e0,-3.182e-12,9.821026,0.218724
3200,0.800000,4.503217042e-1,8.247482142e0,3.633590005e2,3.975767580e0,-2.958e-12,9.641167,0.218834
3240,0.810000,4.422136649e-1,7.971031454e0,3.446908064e2,3.772898631e0,-2.748e-12,9.466526,0.218915
3280,0.820000,4.343749420e-1,7.708681715e0,3.272937974e2,3.583359088e0,-2.551e-12,9.296944,0.218969
3320,0.830000,4.267919223e-1,7.459472182e0,3.110608183e2,3.406100548e0,-2.366e-12,9.132283,0.218999
3360,0.840000,4.194519114e-1,7.222523904e0,2.958953622e2,3.240175868e0,-2.192e-12,8.972420,0.219008
3400,0.850000,4.123430566e-1,6.997031568e0,2.817104312e2,3.084727352e0,-2.029e-12,8.817246,0.219000
3440,0.860000,4.054542766e-1,6.782256182e0,2.684275145e2,2.938976213e0,-1.877e-12,8.666662,0.218977
3480,0.870000,3.987751989e-1,6.577518545e0,2.559756719e2,2.802213267e0,-1.734e-12,8.520579,0.218944
3520,0.880000,3.922961026e-1,6.382193399e0,2.442907124e2,2.673790747e0,-1.602e-12,8.378909,0.218902
3560,0.890000,3.860078673e-1,6.195704210e0,2.333144594e2,2.553115195e0,-1.478e-12,8.241566,0.218856
3600,0.900000,3.799019268e-1,6.017518513e0,2.229940947e2,2.439641336e0,-1.363e-12,8.108463,0.218808
3640,0.910000,3.739702270e-1,5.847143760e0,2.132815749e2,2.332866853e0,-1.256e-12,7.979509,0.218759
3680,0.920000,3.682051881e-1,5.684123623e0,2.041331143e2,2.232327951e0,-1.157e-12,7.854607,0.218713
3720,0.930000,3.625996697e-1,5.528034699e0,1.955087275e2,2.137595610e0,-1.066e-12,7.733655,0.218670
3760,0.940000,3.571469397e-1,5.378483585e0,1.873718268e2,2.048272415e0,-9.805e-13,7.616542,0.218632
3800,0.950000,3.518406455e-1,5.235104257e0,1.796888675e2,1.963989846e0,-9.020e-13,7.503155,0.218599
3840,0.960000,3.466747878e-1,5.097555747e0,1.724290378e2,1.884405957e0,-8.293e-13,7.393371,0.218572
3880,0.970000,3.416436967e-1,4.965520056e0,1.655639854e2,1.809203345e0,-7.623e-13,7.287065,0.218550
3920,0.980000,3.367420093e-1,4.838700290e0,1.590675784e2,1.738087345e0,-7.005e-13,7.184108,0.218534
3960,0.990000,3.319646501e-1,4.716818988e0,1.529156945e2,1.670784413e0,-6.436e-13,7.084369,0.218524
