   [align/dirty] M=16 classes=8538 dense state 0.2 MB
   [align/dirty] sweep 1 done, best=14045639275068160 (14.2 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 2 done, best=14900580820583168 (27.1 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 3 done, best=15343706399599008 (40.2 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 4 done, best=15775039854755120 (53.5 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 5 done, best=16142059666281088 (66.6 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 6 done, best=16414939740220944 (79.8 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 7 done, best=16671062405540656 (92.5 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 8 done, best=16900011933256176 (105.3 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 9 done, best=17016574764454176 (117.9 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 10 done, best=17067708137073200 (130.1 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 11 done, best=17088094148592160 (141.4 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 12 done, best=17109642345770896 (152.8 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 13 done, best=17126457162863936 (164.2 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 14 done, best=17137442728407328 (175.8 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 15 done, best=17141054334671408 (187.9 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 16 done, best=17146176837716288 (199.5 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 17 done, best=17150903723744880 (211.7 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 18 done, best=17153325118281008 (223.4 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 19 done, best=17154228795365008 (235.1 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 20 done, best=17155336758427696 (247.4 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 21 done, best=17155533897372368 (259.6 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 22 done, best=17155846109731200 (271.3 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 23 done, best=17156821597003248 (283.3 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 24 done, best=17157367611306096 (295.2 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 25 done, best=17157556996329536 (306.9 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 26 done, best=17158671220945856 (318.9 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 27 done, best=17159540030036768 (330.1 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 28 done, best=17161300600184112 (341.2 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 29 done, best=17163385991809152 (352.3 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 30 done, best=17165039376568896 (363.6 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 31 done, best=17166094903093952 (375.0 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 32 done, best=17168409977406736 (386.2 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 33 done, best=17169664625040112 (397.4 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 34 done, best=17172487386151488 (408.6 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 35 done, best=17174892711131040 (419.8 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 36 done, best=17175265848417232 (431.0 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 37 done, best=17175863005487520 (442.1 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 38 done, best=17176492882973920 (453.3 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 39 done, best=17176707335003232 (464.5 s elapsed, 8538/8538 classes checked)
   [align/dirty] sweep 40 done, best=17176789448799728 (476.3 s elapsed, 8537/8538 classes checked)
   [align/dirty] sweep 41 done, best=17176873794444224 (487.7 s elapsed, 8535/8538 classes checked)
   [align/dirty] sweep 42 done, best=17176873794444224 (494.0 s elapsed, 4384/8538 classes checked) -- converged
   [align] phases written to /tmp/claude-1000/-home-xavkal-xdev-SocrateAI-Scientific-MechanicaFluidorum/a8c42e7f-96bf-4015-9ce0-3c94ea24b741/scratchpad/dirty_M16_phases.txt
== scout: M=16 ic=adv nu=0.05 dt=0.00025 steps=0 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
