   [align/free] M=16 classes=8538 dense state 0.2 MB
   [align/free] sweep 1 done, best=14045639275068160 (76.4 s elapsed)
   [align/free] sweep 2 done, best=14900580820583168 (149.8 s elapsed)
   [align/free] sweep 3 done, best=15343706399599008 (223.4 s elapsed)
   [align/free] sweep 4 done, best=15775039854755120 (296.6 s elapsed)
   [align/free] sweep 5 done, best=16142059666281088 (370.7 s elapsed)
   [align/free] sweep 6 done, best=16414939740220944 (443.7 s elapsed)
   [align/free] sweep 7 done, best=16671062405540656 (517.1 s elapsed)
   [align/free] sweep 8 done, best=16900011933256176 (591.6 s elapsed)
   [align/free] sweep 9 done, best=17016574764454176 (665.3 s elapsed)
   [align/free] sweep 10 done, best=17067708137073200 (740.0 s elapsed)
   [align/free] sweep 11 done, best=17088094148592160 (813.2 s elapsed)
   [align/free] sweep 12 done, best=17109642345770896 (886.4 s elapsed)
   [align/free] sweep 13 done, best=17126457162863936 (960.1 s elapsed)
   [align/free] sweep 14 done, best=17137442728407328 (1032.7 s elapsed)
   [align/free] sweep 15 done, best=17141054334671408 (1107.3 s elapsed)
   [align/free] sweep 16 done, best=17146176837716288 (1180.8 s elapsed)
   [align/free] sweep 17 done, best=17150903723744880 (1254.3 s elapsed)
   [align/free] sweep 18 done, best=17153325118281008 (1328.0 s elapsed)
   [align/free] sweep 19 done, best=17154228795365008 (1401.5 s elapsed)
   [align/free] sweep 20 done, best=17155336758427696 (1475.2 s elapsed)
   [align/free] sweep 21 done, best=17155533897372368 (1549.2 s elapsed)
   [align/free] sweep 22 done, best=17155846109731200 (1622.7 s elapsed)
   [align/free] sweep 23 done, best=17156821597003248 (1695.5 s elapsed)
   [align/free] sweep 24 done, best=17157367611306096 (1769.1 s elapsed)
   [align/free] sweep 25 done, best=17157556996329536 (1844.2 s elapsed)
   [align/free] sweep 26 done, best=17158671220945856 (1916.8 s elapsed)
   [align/free] sweep 27 done, best=17159540030036768 (1989.4 s elapsed)
   [align/free] sweep 28 done, best=17161300600184112 (2062.4 s elapsed)
   [align/free] sweep 29 done, best=17163385991809152 (2135.8 s elapsed)
   [align/free] sweep 30 done, best=17165039376568896 (2208.7 s elapsed)
   [align/free] sweep 31 done, best=17166094903093952 (2282.0 s elapsed)
   [align/free] sweep 32 done, best=17168409977406736 (2354.8 s elapsed)
   [align/free] sweep 33 done, best=17169664625040112 (2427.3 s elapsed)
   [align/free] sweep 34 done, best=17172487386151488 (2501.4 s elapsed)
   [align/free] sweep 35 done, best=17174892711131040 (2575.2 s elapsed)
   [align/free] sweep 36 done, best=17175265848417232 (2648.4 s elapsed)
   [align/free] sweep 37 done, best=17175863005487520 (2718.6 s elapsed)
   [align/free] sweep 38 done, best=17176492882973920 (2792.9 s elapsed)
   [align/free] sweep 39 done, best=17176707335003232 (2865.6 s elapsed)
   [align/free] sweep 40 done, best=17176789448799728 (2940.1 s elapsed)
   [align/free] sweep 41 done, best=17176873794444224 (3014.5 s elapsed)
   [align/free] sweep 42 done, best=17176873794444224 (3087.5 s elapsed) -- converged
   [align] phases written to /tmp/claude-1000/-home-xavkal-xdev-SocrateAI-Scientific-MechanicaFluidorum/a8c42e7f-96bf-4015-9ce0-3c94ea24b741/scratchpad/S3_M16_phases_free.txt
== scout: M=16 ic=adv nu=0.05 dt=0.00025 steps=0 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
