   [align/free] M=16 classes=8538 dense state 0.2 MB
   [align/free] sweep 1 done, best=14045639275068160 (11.1 s elapsed)
   [align/free] sweep 2 done, best=14900580820583168 (22.1 s elapsed)
   [align/free] sweep 3 done, best=15343706399599008 (33.1 s elapsed)
   [align/free] sweep 4 done, best=15775039854755120 (44.2 s elapsed)
   [align/free] sweep 5 done, best=16142059666281088 (55.2 s elapsed)
   [align/free] sweep 6 done, best=16414939740220944 (66.2 s elapsed)
   [align/free] sweep 7 done, best=16671062405540656 (77.3 s elapsed)
   [align/free] sweep 8 done, best=16900011933256176 (88.4 s elapsed)
   [align/free] sweep 9 done, best=17016574764454176 (99.2 s elapsed)
   [align/free] sweep 10 done, best=17067708137073200 (110.0 s elapsed)
   [align/free] sweep 11 done, best=17088094148592160 (120.8 s elapsed)
   [align/free] sweep 12 done, best=17109642345770896 (131.7 s elapsed)
   [align/free] sweep 13 done, best=17126457162863936 (142.7 s elapsed)
   [align/free] sweep 14 done, best=17137442728407328 (153.6 s elapsed)
   [align/free] sweep 15 done, best=17141054334671408 (164.4 s elapsed)
   [align/free] sweep 16 done, best=17146176837716288 (175.2 s elapsed)
   [align/free] sweep 17 done, best=17150903723744880 (186.0 s elapsed)
   [align/free] sweep 18 done, best=17153325118281008 (197.4 s elapsed)
   [align/free] sweep 19 done, best=17154228795365008 (211.0 s elapsed)
   [align/free] sweep 20 done, best=17155336758427696 (224.4 s elapsed)
   [align/free] sweep 21 done, best=17155533897372368 (236.8 s elapsed)
   [align/free] sweep 22 done, best=17155846109731200 (248.8 s elapsed)
   [align/free] sweep 23 done, best=17156821597003248 (260.1 s elapsed)
   [align/free] sweep 24 done, best=17157367611306096 (271.7 s elapsed)
   [align/free] sweep 25 done, best=17157556996329536 (282.6 s elapsed)
   [align/free] sweep 26 done, best=17158671220945856 (293.5 s elapsed)
   [align/free] sweep 27 done, best=17159540030036768 (304.3 s elapsed)
   [align/free] sweep 28 done, best=17161300600184112 (315.2 s elapsed)
   [align/free] sweep 29 done, best=17163385991809152 (326.1 s elapsed)
   [align/free] sweep 30 done, best=17165039376568896 (337.0 s elapsed)
   [align/free] sweep 31 done, best=17166094903093952 (348.1 s elapsed)
   [align/free] sweep 32 done, best=17168409977406736 (358.9 s elapsed)
   [align/free] sweep 33 done, best=17169664625040112 (370.1 s elapsed)
   [align/free] sweep 34 done, best=17172487386151488 (381.5 s elapsed)
   [align/free] sweep 35 done, best=17174892711131040 (392.3 s elapsed)
   [align/free] sweep 36 done, best=17175265848417232 (403.2 s elapsed)
   [align/free] sweep 37 done, best=17175863005487520 (414.0 s elapsed)
   [align/free] sweep 38 done, best=17176492882973920 (424.8 s elapsed)
   [align/free] sweep 39 done, best=17176707335003232 (435.7 s elapsed)
   [align/free] sweep 40 done, best=17176789448799728 (446.7 s elapsed)
   [align/free] sweep 41 done, best=17176873794444224 (457.5 s elapsed)
   [align/free] sweep 42 done, best=17176873794444224 (468.4 s elapsed) -- converged
   [align] phases written to /tmp/claude-1000/-home-xavkal-xdev-SocrateAI-Scientific-MechanicaFluidorum/a8c42e7f-96bf-4015-9ce0-3c94ea24b741/scratchpad/free_uncontended_M16_phases.txt
== scout: M=16 ic=adv nu=0.05 dt=0.00025 steps=0 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
