== scout: M=16 ic=null nu=0.05 dt=0.00025 steps=24000 lambda=0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,-7.363383526e3,8.754e-11,-5.201345,-0.025054
40,0.010000,1.193091721e2,2.168076588e4,4.366740166e6,-9.031596322e4,8.749e-10,-83.314366,-0.413654
80,0.020000,9.997272543e1,1.737268547e4,3.419020735e6,-1.551264482e4,8.149e-10,-17.858661,-0.090743
120,0.030000,8.431134266e1,1.417200630e4,2.728309011e6,-1.650205145e3,1.039e-9,-2.328824,-0.012097
160,0.040000,7.152678765e1,1.147926307e4,2.159117634e6,-9.335187391e3,9.356e-10,-16.264437,-0.086472
200,0.050000,6.110724914e1,9.458953253e3,1.744320501e6,-2.037767712e2,1.070e-9,-0.430865,-0.002336
240,0.060000,5.245359684e1,7.910790588e3,1.436830423e6,3.120237067e3,8.865e-10,7.888559,0.043432
280,0.070000,4.518984662e1,6.653175596e3,1.195959544e6,2.302595888e3,1.090e-9,6.921795,0.038506
320,0.080000,3.907673794e1,5.605760783e3,9.935207596e5,1.958901627e3,9.075e-10,6.988888,0.039434
360,0.090000,3.392021511e1,4.735710277e3,8.262089640e5,2.107054141e3,5.589e-10,8.898577,0.051005
400,0.100000,2.954995899e1,4.029213759e3,6.939524170e5,2.815368493e3,3.061e-10,13.974779,0.081140
440,0.110000,2.582087223e1,3.446382457e3,5.865079696e5,2.686103394e3,3.209e-10,15.587959,0.091596
480,0.120000,2.262650825e1,2.955837306e3,4.974785421e5,2.289604542e3,4.461e-10,15.492088,0.092048
520,0.130000,1.988498443e1,2.538394899e3,4.227796810e5,1.917271626e3,5.308e-10,15.106173,0.090698
560,0.140000,1.752840617e1,2.184835789e3,3.601597665e5,1.803612583e3,5.601e-10,16.510280,0.100156
600,0.150000,1.549678048e1,1.886810519e3,3.078649421e5,1.709053052e3,5.259e-10,18.115789,0.111026
640,0.160000,1.373959329e1,1.634446344e3,2.639180248e5,1.578044499e3,4.275e-10,19.309835,0.119586
680,0.170000,1.221535433e1,1.419728279e3,2.268187397e5,1.433099262e3,3.013e-10,20.188360,0.126365
720,0.180000,1.088975970e1,1.236182435e3,1.953325053e5,1.276221482e3,1.985e-10,20.647785,0.130672
760,0.190000,9.734361430e0,1.078558294e3,1.684529161e5,1.116387652e3,1.320e-10,20.701480,0.132546
