== scout: M=16 ic=adv nu=0.05 dt=0.00025 steps=400 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
1,0.000250,1.432853816e2,2.882334191e4,6.077178893e6,1.143096419e6,1.473e-10,793.174104,3.761931
2,0.000500,1.425603778e2,2.913798661e4,6.216917287e6,7.217010919e5,6.797e-10,495.367852,2.321733
3,0.000750,1.418302629e2,2.923182914e4,6.287942791e6,2.823783878e5,9.828e-10,193.199260,0.898158
4,0.001000,1.411005082e2,2.911443004e4,6.291888234e6,-1.102800720e5,1.325e-9,-75.756298,-0.350547
5,0.001250,1.403759804e2,2.882255308e4,6.238741909e6,-4.131765070e5,1.614e-9,-286.703614,-1.324551
6,0.001500,1.396604078e2,2.840733052e4,6.143043100e6,-6.110073958e5,1.829e-9,-430.175863,-1.989266
7,0.001750,1.389561993e2,2.792058240e4,6.019918284e6,-7.136037346e5,2.037e-9,-511.166798,-2.370809
8,0.002000,1.382645790e2,2.740466126e4,5.882135945e6,-7.454248298e5,2.308e-9,-544.013168,-2.534538
9,0.002250,1.375858923e2,2.688847314e4,5.738904058e6,-7.327766824e5,2.630e-9,-545.048935,-2.553716
10,0.002500,1.369199256e2,2.638898386e4,5.596214730e6,-6.956269846e5,2.890e-9,-527.210133,-2.486063
11,0.002750,1.362661469e2,2.591493846e4,5.457803697e6,-6.468014149e5,3.179e-9,-499.172642,-2.370189
12,0.003000,1.356238683e2,2.546964694e4,5.325824257e6,-5.956053339e5,3.470e-9,-467.698147,-2.236669
13,0.003250,1.349923719e2,2.505193249e4,5.200993989e6,-5.507635501e5,3.744e-9,-439.697457,-2.117917
14,0.003500,1.343710249e2,2.465642353e4,5.082590992e6,-5.199934169e5,3.972e-9,-421.791438,-2.046175
15,0.003750,1.337593750e2,2.427473004e4,4.968773877e6,-5.072991699e5,4.158e-9,-417.964829,-2.041949
16,0.004000,1.331571947e2,2.389792936e4,4.857346306e6,-5.108464583e5,4.322e-9,-427.523616,-2.103397
