== scout: M=16 ic=adv nu=0.05 dt=0.0000625 steps=320 lambda=-0.05 E0=144 engine=fft modes=17077 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,2.831338370e4,5.877944226e6,1.474148314e6,-1.585e-10,1041.308470,5.015864
1,0.000063,1.438225896e2,2.845642942e4,5.932398403e6,1.403586122e6,-5.912e-11,986.480841,4.731935
2,0.000125,1.436443150e2,2.858976526e4,5.983976577e6,1.324243837e6,6.285e-11,926.376152,4.425966
3,0.000188,1.434652400e2,2.871237081e4,6.032337741e6,1.237066681e6,8.030e-11,861.695949,4.101450
4,0.000250,1.432854347e2,2.882335160e4,6.077181519e6,1.143088714e6,2.042e-10,793.168490,3.761904
5,0.000313,1.431049740e2,2.892194850e4,6.118250781e6,1.043409557e6,3.770e-10,721.534759,3.410810
6,0.000375,1.429239375e2,2.900754423e4,6.155333333e6,9.391719438e5,4.729e-10,647.536335,3.051571
7,0.000438,1.427424079e2,2.907966709e4,6.188262749e6,8.315403855e5,4.499e-10,571.905024,2.687476
8,0.000500,1.425604705e2,2.913799217e4,6.216918414e6,7.216811274e5,6.514e-10,495.354054,2.321668
9,0.000563,1.423782122e2,2.918234009e4,6.241224858e6,6.107434868e5,7.310e-10,418.570605,1.957127
10,0.000625,1.421957205e2,2.921267349e4,6.261150432e6,4.998426092e5,8.709e-10,342.209425,1.596648
11,0.000687,1.420130828e2,2.922909150e4,6.276705427e6,3.900436630e5,8.911e-10,266.887298,1.242829
12,0.000750,1.418303855e2,2.923182234e4,6.287939669e6,2.823475000e5,9.625e-10,193.178172,0.898060
13,0.000813,1.416477129e2,2.922121420e4,6.294939667e6,1.776778317e5,1.032e-9,121.608795,0.564510
14,0.000875,1.414651472e2,2.919772469e4,6.297825381e6,7.687001026e4,1.211e-9,52.654795,0.244116
15,0.000937,1.412827671e2,2.916190896e4,6.296746653e6,-1.933846323e4,1.162e-9,-13.262824,-0.061424
16,0.001000,1.411006478e2,2.911440679e4,6.291879387e6,-1.103155490e5,1.327e-9,-75.780729,-0.350660
17,0.001063,1.409188600e2,2.905592892e4,6.283421521e6,-1.955402281e5,1.395e-9,-134.595751,-0.622400
18,0.001125,1.407374700e2,2.898724280e4,6.271588881e6,-2.746058441e5,1.489e-9,-189.466688,-0.875714
19,0.001187,1.405565391e2,2.890915810e4,6.256610990e6,-3.472210859e5,1.503e-9,-240.215287,-1.109933
20,0.001250,1.403761235e2,2.882251228e4,6.238726899e6,-4.132085178e5,1.572e-9,-286.726232,-1.324657
