== scout: M=32 ic=adv nu=0.05 dt=0.0000125 steps=800 lambda=-0.05 E0=144 engine=fft modes=137065 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.141322007e5,9.530833342e7,3.147224672e7,-3.758e-9,5515.051232,6.604301
2,0.000025,1.437130604e2,1.153935026e5,9.721367848e7,2.846385868e7,-1.271e-9,4933.355526,5.855937
4,0.000050,1.434231784e2,1.164795532e5,9.890159354e7,2.466828352e7,4.262e-9,4235.641853,4.988450
6,0.000075,1.431308374e2,1.173558478e5,1.003264040e8,2.026202557e7,8.985e-9,3453.091762,4.039221
8,0.000100,1.428365948e2,1.179976247e5,1.014554071e8,1.545144187e7,1.255e-8,2618.941171,3.045957
10,0.000125,1.425410566e2,1.183908947e5,1.022697653e8,1.045578353e7,1.578e-8,1766.315485,2.044746
12,0.000150,1.422448501e2,1.185326527e5,1.027643958e8,5.491433359e6,1.968e-8,926.568879,1.068742
14,0.000175,1.419485970e2,1.184303313e5,1.029470037e8,7.573378445e5,2.246e-8,127.895926,0.147132
16,0.000200,1.416528884e2,1.181005629e5,1.028363791e8,-3.578165329e6,2.433e-8,-605.952291,-0.695895
18,0.000225,1.413582641e2,1.175673383e5,1.024600801e8,-7.388305288e6,2.696e-8,-1256.863581,-1.442182
20,0.000250,1.410651973e2,1.168597082e5,1.018516669e8,-1.059522237e7,2.993e-8,-1813.323434,-2.080520
22,0.000275,1.407740849e2,1.160092470e5,1.010477256e8,-1.317217107e7,3.305e-8,-2270.882952,-2.607119
24,0.000300,1.404852440e2,1.150475648e5,1.000849923e8,-1.513959775e7,3.640e-8,-2631.884957,-3.025348
26,0.000325,1.401989152e2,1.140041750e5,9.899791528e7,-1.655526712e7,3.976e-8,-2904.326464,-3.344569
28,0.000350,1.399152696e2,1.129049791e5,9.781694611e7,-1.750004044e7,4.456e-8,-3099.959025,-3.578120
30,0.000375,1.396344187e2,1.117715177e5,9.656772518e7,-1.806209793e7,4.936e-8,-3231.967911,-3.740815
32,0.000400,1.393564260e2,1.106209821e5,9.527115088e7,-1.832286790e7,5.629e-8,-3312.729203,-3.846467
34,0.000425,1.390813166e2,1.094668256e5,9.394414025e7,-1.834745051e7,6.019e-8,-3352.148090,-3.906034
36,0.000450,1.388090858e2,1.083197033e5,9.260076005e7,-1.818103989e7,6.685e-8,-3356.922025,-3.926758
38,0.000475,1.385397047e2,1.071884388e5,9.125336588e7,-1.785119983e7,7.335e-8,-3330.806946,-3.912447
40,0.000500,1.382731239e2,1.060807586e5,8.991344168e7,-1.737438290e7,7.805e-8,-3275.689791,-3.864691
42,0.000525,1.380092754e2,1.050036434e5,8.859195844e7,-1.676422456e7,8.409e-8,-3193.074834,-3.784593
44,0.000550,1.377480749e2,1.039632750e5,8.729922764e7,-1.603905509e7,8.989e-8,-3085.523245,-3.674501
46,0.000575,1.374894241e2,1.029646705e5,8.604436587e7,-1.522664875e7,9.554e-8,-2957.645312,-3.539255
48,0.000600,1.372332139e2,1.020111728e5,8.483457985e7,-1.436520510e7,1.003e-7,-2816.398381,-3.386639
50,0.000625,1.369793295e2,1.011039896e5,8.367450968e7,-1.350061845e7,1.049e-7,-2670.640102,-3.226937
52,0.000650,1.367276561e2,1.002419441e5,8.256583534e7,-1.268097609e7,1.090e-7,-2530.073852,-3.071725
54,0.000675,1.364780848e2,9.942154109e4,8.150727518e7,-1.194976297e7,1.121e-7,-2403.857925,-2.932195
56,0.000700,1.362305180e2,9.863737016e4,8.049500736e7,-1.133937921e7,1.159e-7,-2299.205502,-2.817412
58,0.000725,1.359848731e2,9.788279510e4,7.952345279e7,-1.086633131e7,1.184e-7,-2220.274011,-2.732862
60,0.000750,1.357410850e2,9.715082005e4,7.858628838e7,-1.052895455e7,1.213e-7,-2167.548261,-2.679591
62,0.000775,1.354991054e2,9.643499739e4,7.767752598e7,-1.030791654e7,1.232e-7,-2137.795784,-2.654028
64,0.000800,1.352589007e2,9.573024356e4,7.679249355e7,-1.016919766e7,1.259e-7,-2124.552759,-2.648487
66,0.000825,1.350204475e2,9.503345571e4,7.592858661e7,-1.006885663e7,1.285e-7,-2119.013048,-2.652191
68,0.000850,1.347837275e2,9.434386180e4,7.508570574e7,-9.958718009e6,1.310e-7,-2111.153353,-2.652627
70,0.000875,1.345487210e2,9.366308034e4,7.426634789e7,-9.792144075e6,1.329e-7,-2090.929327,-2.637034
72,0.000900,1.343154017e2,9.299490425e4,7.347536600e7,-9.529211996e6,1.353e-7,-2049.405195,-2.593852
74,0.000925,1.340837316e2,9.234485183e4,7.271944632e7,-9.140824586e6,1.366e-7,-1979.715037,-2.513997
76,0.000950,1.338536570e2,9.171954672e4,7.200637643e7,-8.611476002e6,1.380e-7,-1877.784248,-2.391865
78,0.000975,1.336251075e2,9.112599811e4,7.134419019e7,-7.940540307e6,1.388e-7,-1742.760677,-2.225981
80,0.001000,1.333979952e2,9.057085638e4,7.074028154e7,-7.142057561e6,1.404e-7,-1577.120466,-2.019234
82,0.001025,1.331722167e2,9.005971801e4,7.020057897e7,-6.243085735e6,1.402e-7,-1386.432441,-1.778642
84,0.001050,1.329476567e2,8.959654715e4,6.972886509e7,-5.280793476e6,1.397e-7,-1178.793970,-1.514665
86,0.001075,1.327241924e2,8.918326953e4,6.932631102e7,-4.298594888e6,1.390e-7,-963.991321,-1.240105
