== scout: M=32 ic=adv nu=0.05 dt=0.000025 steps=400 lambda=-0.05 E0=144 engine=fft modes=137065 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.141322007e5,9.530833342e7,3.147221027e7,-4.555e-9,5515.044845,6.604293
1,0.000025,1.437130564e2,1.153935235e5,9.721354173e7,2.846508210e7,-5.510e-10,4933.566675,5.856197
2,0.000050,1.434231707e2,1.164796863e5,9.890138333e7,2.467181845e7,3.779e-9,4236.243973,4.989176
3,0.000075,1.431308260e2,1.173562324e5,1.003262532e8,2.026871506e7,8.942e-9,3454.220480,4.040561
4,0.000100,1.428365796e2,1.179984320e5,1.014555061e8,1.546172895e7,1.352e-8,2620.666849,3.047982
5,0.000125,1.425410370e2,1.183923048e5,1.022703389e8,1.046957863e7,1.608e-8,1768.624853,2.047432
6,0.000150,1.422448252e2,1.185348256e5,1.027656714e8,5.508069730e6,1.944e-8,929.358895,1.071967
7,0.000175,1.419485653e2,1.184333797e5,1.029491780e8,7.756244964e5,2.127e-8,130.980725,0.150681
8,0.000200,1.416528483e2,1.181045290e5,1.028395867e8,-3.559805276e6,2.516e-8,-602.822823,-0.692303
9,0.000225,1.413582140e2,1.175721795e5,1.024643701e8,-7.371640669e6,2.699e-8,-1253.977038,-1.438869
10,0.000250,1.410651354e2,1.168652931e5,1.018569892e8,-1.058200477e7,3.051e-8,-1810.974754,-2.077816
11,0.000275,1.407740096e2,1.160153608e5,1.010539278e8,-1.316395116e7,3.257e-8,-2269.346243,-2.605332
12,0.000300,1.404851542e2,1.150539236e5,1.000918264e8,-1.513759888e7,3.708e-8,-2631.392030,-3.024742
13,0.000325,1.401988101e2,1.140104437e5,9.900505050e7,-1.656033107e7,4.163e-8,-2905.055103,-3.345351
14,0.000350,1.399151491e2,1.129107908e5,9.782398501e7,-1.751264091e7,4.510e-8,-3102.031396,-3.580439
15,0.000375,1.396342838e2,1.117764909e5,9.657422020e7,-1.808239937e7,4.989e-8,-3235.456618,-3.744767
16,0.000400,1.393562786e2,1.106247346e5,9.527661966e7,-1.835079735e7,5.513e-8,-3317.666237,-3.852109
17,0.000425,1.390811599e2,1.094689848e5,9.394807985e7,-1.838274972e7,6.116e-8,-3358.531142,-3.913385
18,0.000450,1.388089242e2,1.083199154e5,9.260266152e7,-1.822327545e7,6.699e-8,-3364.713753,-3.935800
19,0.000475,1.385395436e2,1.071863782e5,9.125273147e7,-1.789972606e7,7.308e-8,-3339.925532,-3.923110
20,0.000500,1.382729696e2,1.060761398e5,8.990980656e7,-1.742827094e7,7.858e-8,-3285.992680,-3.876834
21,0.000525,1.380091349e2,1.049962373e5,8.858491775e7,-1.682218580e7,8.423e-8,-3204.340695,-3.797980
22,0.000550,1.377479555e2,1.039529278e5,8.728846752e7,-1.609939267e7,8.964e-8,-3097.439004,-3.688779
23,0.000575,1.374893332e2,1.029513238e5,8.602969559e7,-1.528726686e7,9.485e-8,-2969.804813,-3.553951
24,0.000600,1.372331588e2,1.019948817e5,8.481596040e7,-1.442369234e7,1.001e-7,-2828.316893,-3.401174
25,0.000625,1.369793171e2,1.010849341e5,8.365207385e7,-1.355440326e7,1.048e-7,-2681.785052,-3.240662
26,0.000650,1.367276927e2,1.002204320e5,8.253989528e7,-1.272753331e7,1.088e-7,-2539.907893,-3.083971
27,0.000675,1.364781758e2,9.939799948e4,8.147831485e7,-1.198683756e7,1.126e-7,-2411.887085,-2.942338
28,0.000700,1.362306675e2,9.861232655e4,8.046366011e7,-1.136518753e7,1.161e-7,-2305.023707,-2.824924
29,0.000725,1.359850843e2,9.785684952e4,7.949046631e7,-1.087970544e7,1.186e-7,-2223.596099,-2.737361
30,0.000750,1.357413594e2,9.712461213e4,7.855248180e7,-1.052940734e7,1.214e-7,-2168.226386,-2.680859
31,0.000775,1.354994432e2,9.640917235e4,7.764374427e7,-1.029562168e7,1.242e-7,-2135.817875,-2.652016
32,0.000800,1.352593005e2,9.570542124e4,7.675956489e7,-1.014489556e7,1.260e-7,-2120.025266,-2.643292
33,0.000825,1.350209066e2,9.501020579e4,7.589728696e7,-1.003370875e7,1.290e-7,-2112.132832,-2.644023
34,0.000850,1.347842417e2,9.432268707e4,7.505673352e7,-9.914138242e6,1.312e-7,-2102.174684,-2.641772
35,0.000875,1.345492851e2,9.364440843e4,7.424030957e7,-9.739635287e6,1.332e-7,-2080.131734,-2.623813
36,0.000900,1.343160093e2,9.297908694e4,7.345277186e7,-9.470229881e6,1.351e-7,-2037.066655,-2.578590
37,0.000925,1.340843755e2,9.233217020e4,7.270071428e7,-9.076682521e6,1.375e-7,-1966.093183,-2.497000
38,0.000950,1.338543293e2,9.171021988e4,7.199184115e7,-8.543295272e6,1.392e-7,-1863.106485,-2.373407
39,0.000975,1.336257996e2,9.112019334e4,7.133411445e7,-7.869242118e6,1.395e-7,-1727.222437,-2.206305
40,0.001000,1.333986980e2,9.056869882e4,7.073486749e7,-7.068387643e6,1.403e-7,-1560.889741,-1.998558
41,0.001025,1.331729209e2,9.006129851e4,7.019997721e7,-6.167659413e6,1.409e-7,-1369.658114,-1.757168
42,0.001050,1.329483527e2,8.960192757e4,6.973318068e7,-5.204148662e6,1.404e-7,-1161.615336,-1.492589
43,0.001075,1.327248704e2,8.919248551e4,6.933560625e7,-4.221241998e6,1.398e-7,-946.546556,-1.217626
44,0.001100,1.325023492e2,8.883263715e4,6.900556624e7,-3.264214446e6,1.380e-7,-734.913327,-0.946073
45,0.001125,1.322806679e2,8.851983697e4,6.873862735e7,-2.375804190e6,1.363e-7,-536.784583,-0.691257
46,0.001150,1.320597142e2,8.824956329e4,6.852794064e7,-1.592305044e6,1.336e-7,-360.864119,-0.464717
47,0.001175,1.318393892e2,8.801572403e4,6.836478113e7,-9.406349759e5,1.310e-7,-213.742484,-0.275181
48,0.001200,1.316196107e2,8.781117648e4,6.823922360e7,-4.366772896e5,1.281e-7,-99.458248,-0.127984
49,0.001225,1.314003149e2,8.762829418e4,6.814086945e7,-8.498065656e4,1.249e-7,-19.395712,-0.024943
50,0.001250,1.311814574e2,8.745951521e4,6.805954191e7,1.203062110e5,1.219e-7,27.511292,0.035353
51,0.001275,1.309630117e2,8.729781704e4,6.798588126e7,1.935541747e5,1.185e-7,44.343417,0.056940
52,0.001300,1.307449680e2,8.713708024e4,6.791179346e7,1.552070186e5,1.160e-7,35.623645,0.045708
53,0.001325,1.305273305e2,8.697232299e4,6.783073119e7,2.915844036e4,1.126e-7,6.705223,0.008597
54,0.001350,1.303101141e2,8.679980664e4,6.773780888e7,-1.597128053e5,1.106e-7,-36.800268,-0.047156
55,0.001375,1.300933415e2,8.661702713e4,6.762977221e7,-3.876105227e5,1.084e-7,-89.499844,-0.114627
56,0.001400,1.298770402e2,8.642261617e4,6.750485328e7,-6.333600566e5,1.069e-7,-146.572757,-0.187649
57,0.001425,1.296612400e2,8.621617995e4,6.736254803e7,-8.793848997e5,1.050e-7,-203.995329,-0.261090
58,0.001450,1.294459707e2,8.599810301e4,6.720335156e7,-1.112161514e6,1.041e-7,-258.647918,-0.330984
59,0.001475,1.292312600e2,8.576934139e4,6.702848240e7,-1.322239576e6,1.032e-7,-308.324526,-0.394531
60,0.001500,1.290171333e2,8.553122397e4,6.683962054e7,-1.503936048e6,1.026e-7,-351.669479,-0.450013
61,0.001525,1.288036118e2,8.528527562e4,6.663867614e7,-1.654813056e6,1.025e-7,-388.065359,-0.496652
62,0.001550,1.285907133e2,8.503307034e4,6.642759963e7,-1.775038432e6,1.021e-7,-417.493670,-0.534428
63,0.001575,1.283784515e2,8.477611789e4,6.620823741e7,-1.866709994e6,1.023e-7,-440.385816,-0.563891
64,0.001600,1.281668364e2,8.451578420e4,6.598223295e7,-1.933204769e6,1.024e-7,-457.477804,-0.585977
65,0.001625,1.279558751e2,8.425324291e4,6.575096994e7,-1.978595375e6,1.029e-7,-469.678153,-0.601845
66,0.001650,1.277455718e2,8.398945396e4,6.551555127e7,-2.007159109e6,1.032e-7,-477.955032,-0.612728
67,0.001675,1.275359286e2,8.372516420e4,6.527680733e7,-2.022991737e6,1.035e-7,-483.245809,-0.619819
68,0.001700,1.273269462e2,8.346092449e4,6.503532586e7,-2.029727391e6,1.043e-7,-486.389865,-0.624192
69,0.001725,1.271186238e2,8.319711827e4,6.479149642e7,-2.030358324e6,1.045e-7,-488.083810,-0.626736
70,0.001750,1.269109601e2,8.293399672e4,6.454556279e7,-2.027143060e6,1.053e-7,-488.856956,-0.628128
71,0.001775,1.267039532e2,8.267171644e4,6.429767774e7,-2.021588457e6,1.058e-7,-489.064107,-0.628822
72,0.001800,1.264976008e2,8.241037645e4,6.404795558e7,-2.014489881e6,1.066e-7,-488.892290,-0.629057
73,0.001825,1.262919005e2,8.215005182e4,6.379651892e7,-2.006013754e6,1.074e-7,-488.377964,-0.628879
74,0.001850,1.260868496e2,8.189082241e4,6.354353746e7,-1.995807798e6,1.083e-7,-487.431372,-0.628170
75,0.001875,1.258824454e2,8.163279559e4,6.328925720e7,-1.983125959e6,1.090e-7,-485.865012,-0.626686
76,0.001900,1.256786846e2,8.137612242e4,6.303401961e7,-1.966956989e6,1.097e-7,-483.423621,-0.624094
77,0.001925,1.254755636e2,8.112100760e4,6.277827108e7,-1.946147775e6,1.109e-7,-479.813511,-0.620007
78,0.001950,1.252730781e2,8.086771342e4,6.252256332e7,-1.919514502e6,1.119e-7,-474.729511,-0.614023
79,0.001975,1.250712233e2,8.061655865e4,6.226754605e7,-1.885936697e6,1.129e-7,-467.878244,-0.605753
80,0.002000,1.248699933e2,8.036791316e4,6.201395350e7,-1.844430929e6,1.136e-7,-458.996845,-0.594844
81,0.002025,1.246693814e2,8.012218953e4,6.176258658e7,-1.794202653e6,1.147e-7,-447.866606,-0.581000
82,0.002050,1.244693797e2,7.987983260e4,6.151429232e7,-1.734676244e6,1.156e-7,-434.321452,-0.563991
83,0.002075,1.242699792e2,7.964130814e4,6.126994248e7,-1.665504786e6,1.166e-7,-418.251489,-0.543661
84,0.002100,1.240711698e2,7.940709146e4,6.103041266e7,-1.586562501e6,1.173e-7,-399.602220,-0.519925
85,0.002125,1.238729399e2,7.917765690e4,6.079656329e7,-1.497923831e6,1.181e-7,-378.370336,-0.492766
86,0.002150,1.236752772e2,7.895346854e4,6.056922316e7,-1.399833941e6,1.190e-7,-354.597199,-0.462226
87,0.002175,1.234781680e2,7.873497260e4,6.034917604e7,-1.292675714e6,1.194e-7,-328.361253,-0.428399
88,0.002200,1.232815974e2,7.852259152e4,6.013715039e7,-1.176938099e6,1.200e-7,-299.770570,-0.391418
89,0.002225,1.230855497e2,7.831671943e4,5.993381182e7,-1.053189943e6,1.203e-7,-268.956604,-0.351451
90,0.002250,1.228900081e2,7.811771884e4,5.973975774e7,-9.220622522e5,1.207e-7,-236.069938,-0.308693
91,0.002275,1.226949552e2,7.792591792e4,5.955551344e7,-7.842403483e5,1.210e-7,-201.278437,-0.263364
92,0.002300,1.225003724e2,7.774160800e4,5.938152873e7,-6.404657538e5,1.211e-7,-164.767817,-0.215712
93,0.002325,1.223062408e2,7.756504070e4,5.921817459e7,-4.915461518e5,1.207e-7,-126.744252,-0.166012
94,0.002350,1.221125407e2,7.739642446e4,5.906573913e7,-3.383705151e5,1.209e-7,-87.438281,-0.114574
95,0.002375,1.219192520e2,7.723592029e4,5.892442273e7,-1.819257201e5,1.206e-7,-47.109096,-0.061749
96,0.002400,1.217263543e2,7.708363671e4,5.879433224e7,-2.331069560e4,1.202e-7,-6.048157,-0.007930
97,0.002425,1.215338270e2,7.693962416e4,5.867547469e7,1.362555721e5,1.198e-7,35.418830,0.046444
98,0.002450,1.213416494e2,7.680386927e4,5.856775100e7,2.954350991e5,1.193e-7,76.932348,0.100887
99,0.002475,1.211498010e2,7.667628937e4,5.847095035e7,4.527828452e5,1.187e-7,118.102441,0.154874
100,0.002500,1.209582614e2,7.655672802e4,5.838474608e7,6.067700397e5,1.181e-7,158.515144,0.207852
101,0.002525,1.207670110e2,7.644495190e4,5.830869383e7,7.558180530e5,1.175e-7,197.741783,0.259247
102,0.002550,1.205760305e2,7.634064962e4,5.824223258e7,8.983407714e5,1.171e-7,235.350570,0.308484
103,0.002575,1.203853019e2,7.624343284e4,5.818468907e7,1.032792486e6,1.161e-7,270.919723,0.355005
104,0.002600,1.201948080e2,7.615283982e4,5.813528567e7,1.157717725e6,1.154e-7,304.051097,0.398284
105,0.002625,1.200045328e2,7.606834133e4,5.809315186e7,1.271799279e6,1.145e-7,334.383334,0.437848
106,0.002650,1.198144618e2,7.598934897e4,5.805733877e7,1.373900870e6,1.139e-7,361.603538,0.473291
