== scout: M=32 ic=adv nu=0.05 dt=0.0000125 steps=800 lambda=-0.05 E0=144 engine=fft modes=137065 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,1.141322007e5,9.530833342e7,3.147221027e7,-4.555e-9,5515.044845,6.604293
2,0.000025,1.437130603e2,1.153935278e5,9.721354623e7,2.846507754e7,-1.049e-11,4933.565700,5.856196
4,0.000050,1.434231782e2,1.164796933e5,9.890139043e7,2.467180699e7,4.946e-9,4236.241752,4.989173
6,0.000075,1.431308366e2,1.173562404e5,1.003262610e8,2.026869514e7,8.263e-9,3454.216847,4.040556
8,0.000100,1.428365925e2,1.179984398e5,1.014555131e8,1.546170000e7,1.334e-8,2620.661770,3.047976
10,0.000125,1.425410515e2,1.183923110e5,1.022703436e8,1.046954128e7,1.693e-8,1768.618451,2.047425
12,0.000150,1.422448406e2,1.185348294e5,1.027656728e8,5.508025758e6,1.917e-8,929.351447,1.071958
14,0.000175,1.419485810e2,1.184333803e5,1.029491754e8,7.755766252e5,2.257e-8,130.972640,0.150672
16,0.000200,1.416528636e2,1.181045261e5,1.028395796e8,-3.559853723e6,2.409e-8,-602.831042,-0.692312
18,0.000225,1.413582283e2,1.175721729e5,1.024643584e8,-7.371686218e6,2.781e-8,-1253.984857,-1.438878
20,0.000250,1.410651485e2,1.168652828e5,1.018569729e8,-1.058204427e7,2.938e-8,-1810.981673,-2.077824
22,0.000275,1.407740213e2,1.160153472e5,1.010539074e8,-1.316398218e7,3.384e-8,-2269.351857,-2.605339
24,0.000300,1.404851648e2,1.150539071e5,1.000918023e8,-1.513761998e7,3.578e-8,-2631.396075,-3.024747
26,0.000325,1.401988203e2,1.140104251e5,9.900502344e7,-1.656034190e7,3.973e-8,-2905.057478,-3.345354
28,0.000350,1.399151595e2,1.129107708e5,9.782395572e7,-1.751264207e7,4.497e-8,-3102.032151,-3.580440
30,0.000375,1.396342952e2,1.117764702e5,9.657418935e7,-1.808239210e7,4.959e-8,-3235.455917,-3.744767
32,0.000400,1.393562915e2,1.106247138e5,9.527658777e7,-1.835078318e7,5.557e-8,-3317.664299,-3.852108
34,0.000425,1.390811747e2,1.094689641e5,9.394804724e7,-1.838273004e7,6.091e-8,-3358.528179,-3.913382
36,0.000450,1.388089409e2,1.083198951e5,9.260262832e7,-1.822325130e7,6.685e-8,-3364.709925,-3.935796
38,0.000475,1.385395621e2,1.071863581e5,9.125269766e7,-1.789969804e7,7.310e-8,-3339.920932,-3.923106
40,0.000500,1.382729896e2,1.060761197e5,8.990977207e7,-1.742823936e7,7.990e-8,-3285.987347,-3.876829
42,0.000525,1.380091561e2,1.049962171e5,8.858488252e7,-1.682215091e7,8.466e-8,-3204.334666,-3.797973
44,0.000550,1.377479779e2,1.039529074e5,8.728843161e7,-1.609935500e7,9.135e-8,-3097.432365,-3.688772
46,0.000575,1.374893568e2,1.029513033e5,8.602965916e7,-1.528722744e7,9.659e-8,-2969.797750,-3.553944
48,0.000600,1.372331836e2,1.019948611e5,8.481592369e7,-1.442365281e7,1.014e-7,-2828.309711,-3.401166
50,0.000625,1.369793435e2,1.010849137e5,8.365203716e7,-1.355436569e7,1.058e-7,-2681.778159,-3.240654
52,0.000650,1.367277210e2,1.002204120e5,8.253985888e7,-1.272749996e7,1.100e-7,-2539.901744,-3.083965
54,0.000675,1.364782062e2,9.939797998e4,8.147827894e7,-1.198681045e7,1.136e-7,-2411.882103,-2.942333
56,0.000700,1.362307002e2,9.861230754e4,8.046362475e7,-1.136516803e7,1.166e-7,-2305.020197,-2.824921
58,0.000725,1.359851193e2,9.785683089e4,7.949043148e7,-1.087969397e7,1.196e-7,-2223.594177,-2.737359
60,0.000750,1.357413965e2,9.712459370e4,7.855244738e7,-1.052940320e7,1.222e-7,-2168.225945,-2.680859
62,0.000775,1.354994822e2,9.640915390e4,7.764371013e7,-1.029562313e7,1.247e-7,-2135.818584,-2.652017
64,0.000800,1.352593410e2,9.570540257e4,7.675953092e7,-1.014490001e7,1.277e-7,-2120.026610,-2.643294
66,0.000825,1.350209480e2,9.501018675e4,7.589725315e7,-1.003371314e7,1.301e-7,-2112.134179,-2.644025
68,0.000850,1.347842837e2,9.432266763e4,7.505669995e7,-9.914139426e6,1.325e-7,-2102.175368,-2.641773
70,0.000875,1.345493271e2,9.364438868e4,7.424027648e7,-9.739630453e6,1.342e-7,-2080.131141,-2.623813
72,0.000900,1.343160511e2,9.297906709e4,7.345273962e7,-9.470216898e6,1.364e-7,-2037.064297,-2.578588
74,0.000925,1.340844166e2,9.233215057e4,7.270068336e7,-9.076660210e6,1.381e-7,-1966.088768,-2.496994
76,0.000950,1.338543697e2,9.171020085e4,7.199181208e7,-8.543263558e6,1.400e-7,-1863.099956,-2.373399
78,0.000975,1.336258392e2,9.112017533e4,7.133408777e7,-7.869202079e6,1.407e-7,-1727.213990,-2.206295
80,0.001000,1.333987368e2,9.056868223e4,7.073484367e7,-7.068341425e6,1.414e-7,-1560.879821,-1.998546
82,0.001025,1.331729591e2,9.006128364e4,7.019995658e7,-6.167610031e6,1.423e-7,-1369.647374,-1.757155
84,0.001050,1.329483905e2,8.960191460e4,6.973316340e7,-5.204099708e6,1.411e-7,-1161.604578,-1.492575
86,0.001075,1.327249080e2,8.919247444e4,6.933559225e7,-4.221197269e6,1.400e-7,-946.536644,-1.217613
88,0.001100,1.325023868e2,8.883262781e4,6.900555521e7,-3.264177550e6,1.384e-7,-734.905097,-0.946062
90,0.001125,1.322807056e2,8.851982900e4,6.873861876e7,-2.375778172e6,1.368e-7,-536.778753,-0.691250
92,0.001150,1.320597522e2,8.824955617e4,6.852793377e7,-1.592292088e6,1.341e-7,-360.861212,-0.464713
