== scout: M=64 ic=adv nu=0.05 dt=0.0000025 steps=200 lambda=-0.05 E0=144 engine=fft modes=1097917 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,4.579323442e5,1.532962020e9,6.882098333e8,-2.849e-8,30057.271212,8.978824
1,0.000003,1.438851410e2,4.609111049e5,1.550580647e9,6.564959839e8,-2.010e-8,28486.880742,8.467744
2,0.000005,1.437695588e2,4.637126034e5,1.567318471e9,6.190969530e8,3.106e-8,26701.752268,7.900079
3,0.000008,1.436533013e2,4.663098409e5,1.583031686e9,5.765063368e8,4.926e-8,24726.320834,7.283573
4,0.000010,1.435364226e2,4.686785763e5,1.597592083e9,5.293166316e8,7.187e-8,22587.617973,6.626430
5,0.000013,1.434189825e2,4.707977665e5,1.610889001e9,4.781993827e8,1.169e-7,20314.428687,5.937087
6,0.000015,1.433010457e2,4.726499074e5,1.622830716e9,4.238850851e8,1.474e-7,17936.535203,5.224021
7,0.000018,1.431826808e2,4.742212738e5,1.633345303e9,3.671433743e8,1.850e-7,15484.053312,4.495600
8,0.000020,1.430639592e2,4.755020618e5,1.642380999e9,3.087638136e8,2.067e-7,12986.854881,3.759954
9,0.000023,1.429449544e2,4.764864370e5,1.649906117e9,2.495374385e8,2.287e-7,10474.062600,3.024868
10,0.000025,1.428257408e2,4.771724923e5,1.655908540e9,1.902391364e8,2.261e-7,7973.600300,2.297701
11,0.000028,1.427063928e2,4.775621205e5,1.660394832e9,1.316109520e8,2.533e-7,5511.783549,1.585297
12,0.000030,1.425869840e2,4.776608057e5,1.663389015e9,7.434646585e7,2.841e-7,3112.939767,0.893916
13,0.000033,1.424675860e2,4.774773408e5,1.664931027e9,1.907650200e7,2.830e-7,799.053709,0.229157
14,0.000035,1.423482680e2,4.770234772e5,1.665074912e9,-3.364347515e7,2.979e-7,-1410.558463,-0.404108
15,0.000038,1.422290958e2,4.763135183e5,1.663886794e9,-8.334382046e7,3.181e-7,-3499.536219,-1.001797
16,0.000040,1.421101314e2,4.753638661e5,1.661442670e9,-1.296485271e8,3.111e-7,-5454.706861,-1.560674
17,0.000043,1.419914325e2,4.741925381e5,1.657826101e9,-1.722799235e8,3.383e-7,-7266.243549,-2.078384
18,0.000045,1.418730522e2,4.728186695e5,1.653125874e9,-2.110598555e8,3.398e-7,-8927.729342,-2.553464
19,0.000048,1.417550387e2,4.712620197e5,1.647433700e9,-2.459071174e8,3.760e-7,-10436.110153,-2.985336
20,0.000050,1.416374350e2,4.695425006e5,1.640842048e9,-2.768311161e8,3.842e-7,-11791.525398,-3.374257
21,0.000053,1.415202795e2,4.676797480e5,1.633442185e9,-3.039220031e8,4.125e-7,-12997.013639,-3.721246
22,0.000055,1.414036056e2,4.656927484e5,1.625322496e9,-3.273377819e8,4.502e-7,-14058.100884,-4.027973
23,0.000058,1.412874421e2,4.635995387e5,1.616567139e9,-3.472891403e8,4.856e-7,-14982.290161,-4.296625
24,0.000060,1.411718134e2,4.614169841e5,1.607255086e9,-3.640229606e8,5.002e-7,-15778.481206,-4.529747
25,0.000063,1.410567398e2,4.591606412e5,1.597459544e9,-3.778055771e8,5.301e-7,-16456.357237,-4.730080
26,0.000065,1.409422380e2,4.568447020e5,1.587247769e9,-3.889068839e8,5.764e-7,-17025.780627,-4.900393
27,0.000068,1.408283213e2,4.544820138e5,1.576681218e9,-3.975863216e8,6.189e-7,-17496.240095,-5.043332
28,0.000070,1.407149999e2,4.520841621e5,1.565816001e9,-4.040816072e8,6.525e-7,-17876.388560,-5.161291
29,0.000073,1.406022812e2,4.496616022e5,1.554703542e9,-4.086008293e8,6.882e-7,-18173.703392,-5.256318
30,0.000075,1.404901702e2,4.472238202e5,1.543391375e9,-4.113182355e8,7.384e-7,-18394.290150,-5.330057
31,0.000077,1.403786697e2,4.447795057e5,1.531923984e9,-4.123737257e8,8.010e-7,-18542.838438,-5.383736
32,0.000080,1.402677802e2,4.423367185e5,1.520343596e9,-4.118757606e8,8.527e-7,-18622.725330,-5.418193
33,0.000083,1.401575005e2,4.399030330e5,1.508690854e9,-4.099071346e8,8.890e-7,-18636.249533,-5.433945
34,0.000085,1.400478272e2,4.374856474e5,1.497005316e9,-4.065328601e8,9.516e-7,-18584.969019,-5.431281
35,0.000088,1.399387556e2,4.350914508e5,1.485325737e9,-4.018092882e8,9.929e-7,-18470.107258,-5.410386
36,0.000090,1.398302790e2,4.327270430e5,1.473690103e9,-3.957935490e8,1.057e-6,-18292.988867,-5.371462
37,0.000093,1.397223890e2,4.303987078e5,1.462135454e9,-3.885524313e8,1.103e-6,-18055.464586,-5.314862
38,0.000095,1.396150761e2,4.281123458e5,1.450697476e9,-3.801699247e8,1.144e-6,-17760.287850,-5.241202
39,0.000098,1.395083289e2,4.258733742e5,1.439409951e9,-3.707528077e8,1.198e-6,-17411.410539,-5.151455
40,0.000100,1.394021350e2,4.236866034e5,1.428304076e9,-3.604338576e8,1.258e-6,-17014.172964,-5.047019
41,0.000103,1.392964808e2,4.215561060e5,1.417407743e9,-3.493724723e8,1.300e-6,-16575.372401,-4.929738
42,0.000105,1.391913519e2,4.194850883e5,1.406744836e9,-3.377527066e8,1.347e-6,-16103.204429,-4.801904
43,0.000108,1.390867331e2,4.174757775e5,1.396334599e9,-3.257789235e8,1.386e-6,-15607.081467,-4.666201
44,0.000110,1.389826087e2,4.155293372e5,1.386191136e9,-3.136694305e8,1.416e-6,-15097.342229,-4.525630
45,0.000113,1.388789631e2,4.136458178e5,1.376323098e9,-3.016486012e8,1.462e-6,-14584.873735,-4.383398
46,0.000115,1.387757805e2,4.118241496e5,1.366733561e9,-2.899380684e8,1.513e-6,-14080.673444,-4.242788
47,0.000118,1.386730459e2,4.100621804e5,1.357420144e9,-2.787476092e8,1.549e-6,-13595.382486,-4.107020
48,0.000120,1.385707446e2,4.083567584e5,1.348375334e9,-2.682663344e8,1.573e-6,-13138.821821,-3.979105
49,0.000123,1.384688630e2,4.067038573e5,1.339587040e9,-2.586547348e8,1.619e-6,-12719.561427,-3.861709
50,0.000125,1.383673885e2,4.050987377e5,1.331039315e9,-2.500380529e8,1.643e-6,-12344.548607,-3.757035
51,0.000128,1.382663099e2,4.035361369e5,1.322713233e9,-2.425013257e8,1.671e-6,-12018.815840,-3.666726
52,0.000130,1.381656172e2,4.020104796e5,1.314587876e9,-2.360863184e8,1.708e-6,-11745.281796,-3.591792
53,0.000133,1.380653019e2,4.005160978e5,1.306641372e9,-2.307904328e8,1.742e-6,-11524.652024,-3.532575
54,0.000135,1.379653568e2,3.990474514e5,1.298851944e9,-2.265675510e8,1.757e-6,-11355.419023,-3.488736
55,0.000138,1.378657763e2,3.975993400e5,1.291198934e9,-2.233306644e8,1.794e-6,-11233.955490,-3.459276
56,0.000140,1.377665557e2,3.961670969e5,1.283663740e9,-2.209560567e8,1.818e-6,-11154.689949,-3.442585
57,0.000143,1.376676916e2,3.947467591e5,1.276230650e9,-2.192887492e8,1.844e-6,-11110.350835,-3.436507
58,0.000145,1.375691815e2,3.933352069e5,1.268887539e9,-2.181488884e8,1.885e-6,-11092.263525,-3.438427
59,0.000148,1.374710234e2,3.919302698e5,1.261626406e9,-2.173387501e8,1.907e-6,-11090.684584,-3.445374
60,0.000150,1.373732158e2,3.905307973e5,1.254443744e9,-2.166500511e8,1.925e-6,-11095.158313,-3.454121
61,0.000153,1.372757575e2,3.891366915e5,1.247340736e9,-2.158712897e8,1.959e-6,-11094.882312,-3.461304
62,0.000155,1.371786470e2,3.877489040e5,1.240323274e9,-2.147948755e8,1.978e-6,-11079.070674,-3.463531
63,0.000158,1.370818824e2,3.863693987e5,1.233401820e9,-2.132238525e8,2.007e-6,-11037.305398,-3.457492
64,0.000160,1.369854614e2,3.850010815e5,1.226591096e9,-2.109780578e8,2.032e-6,-10959.868320,-3.440072
65,0.000163,1.368893807e2,3.836477014e5,1.219909642e9,-2.078995928e8,2.050e-6,-10838.047097,-3.408442
66,0.000165,1.367936360e2,3.823137263e5,1.213379246e9,-2.038575081e8,2.073e-6,-10664.409571,-3.360161
67,0.000168,1.366982218e2,3.810041973e5,1.207024260e9,-1.987516226e8,2.104e-6,-10433.041106,-3.293250
68,0.000170,1.366031314e2,3.797245673e5,1.200870839e9,-1.925154095e8,2.120e-6,-10139.739491,-3.206263
69,0.000173,1.365083567e2,3.784805267e5,1.194946109e9,-1.851178886e8,2.146e-6,-9782.161861,-3.098347
70,0.000175,1.364138878e2,3.772778229e5,1.189277302e9,-1.765644765e8,2.156e-6,-9359.918118,-2.969273
71,0.000178,1.363197139e2,3.761220792e5,1.183890876e9,-1.668967577e8,2.171e-6,-8874.605718,-2.819462
72,0.000180,1.362258225e2,3.750186162e5,1.178811655e9,-1.561911607e8,2.186e-6,-8329.781720,-2.649977
73,0.000183,1.361321999e2,3.739722846e5,1.174062005e9,-1.445565498e8,2.190e-6,-7730.869682,-2.462503
74,0.000185,1.360388313e2,3.729873109e5,1.169661086e9,-1.321307814e8,2.202e-6,-7085.001418,-2.259300
75,0.000188,1.359457009e2,3.720671651e5,1.165624200e9,-1.190763135e8,2.207e-6,-6400.796668,-2.043134
76,0.000190,1.358527922e2,3.712144502e5,1.161962255e9,-1.055750066e8,2.218e-6,-5688.087116,-1.817185
77,0.000193,1.357600880e2,3.704308217e5,1.158681368e9,-9.182229332e7,2.218e-6,-4957.594667,-1.584945
78,0.000195,1.356675710e2,3.697169360e5,1.155782621e9,-7.802093988e7,2.220e-6,-4220.577002,-1.350097
79,0.000198,1.355752237e2,3.690724309e5,1.153261972e9,-6.437464556e7,2.222e-6,-3488.455933,-1.116392
80,0.000200,1.354830291e2,3.684959384e5,1.151110327e9,-5.108174559e7,2.207e-6,-2772.445516,-0.887521
81,0.000203,1.353909703e2,3.679851272e5,1.149313774e9,-3.832927952e7,2.196e-6,-2083.197210,-0.666994
82,0.000205,1.352990313e2,3.675367748e5,1.147853944e9,-2.628766985e7,2.190e-6,-1430.478344,-0.458032
83,0.000208,1.352071970e2,3.671468624e5,1.146708506e9,-1.510622124e7,2.182e-6,-822.898016,-0.263471
84,0.000210,1.351154534e2,3.668106914e5,1.145851765e9,-4.909602805e6,2.159e-6,-267.691369,-0.085694
85,0.000213,1.350237876e2,3.665230133e5,1.145255319e9,4.204581205e6,2.143e-6,229.430680,0.073426
86,0.000215,1.349321883e2,3.662781694e5,1.144888780e9,1.216708887e7,2.127e-6,664.363311,0.212546
87,0.000218,1.348406455e2,3.660702345e5,1.144720500e9,1.893722478e7,2.118e-6,1034.622485,0.330862
88,0.000220,1.347491506e2,3.658931573e5,1.144718287e9,2.450198606e7,2.097e-6,1339.297310,0.428088
89,0.000223,1.346576968e2,3.657408954e5,1.144850094e9,2.887429333e7,2.076e-6,1578.948031,0.504421
90,0.000225,1.345662786e2,3.656075387e5,1.145084642e9,3.209046567e7,2.062e-6,1755.459736,0.560491
91,0.000228,1.344748920e2,3.654874183e5,1.145391975e9,3.420712184e7,2.042e-6,1871.863168,0.597300
92,0.000230,1.343835343e2,3.653751994e5,1.145743928e9,3.529769898e7,2.019e-6,1932.134367,0.616153
93,0.000233,1.342922042e2,3.652659556e5,1.146114506e9,3.544877726e7,2.004e-6,1940.984464,0.618590
