== scout: M=64 ic=adv nu=0.05 dt=0.00000125 steps=400 lambda=-0.05 E0=144 engine=fft modes=1097917 ==
step,t,E,D,D2,P_re,P_im,ratio_energy,ratio_enstrophy
0,0.000000,1.440000000e2,4.579323442e5,1.532962020e9,6.882098333e8,-2.849e-8,30057.271212,8.978824
2,0.000003,1.438851412e2,4.609111058e5,1.550580651e9,6.564959791e8,-2.583e-8,28486.880476,8.467744
4,0.000005,1.437695592e2,4.637126051e5,1.567318478e9,6.190969420e8,1.449e-8,26701.751695,7.900078
6,0.000008,1.436533019e2,4.663098432e5,1.583031695e9,5.765063182e8,5.262e-8,24726.319918,7.283573
8,0.000010,1.435364233e2,4.686785790e5,1.597592094e9,5.293166045e8,7.724e-8,22587.616686,6.626430
10,0.000013,1.434189834e2,4.707977693e5,1.610889013e9,4.781993462e8,1.363e-7,20314.427013,5.937086
12,0.000015,1.433010467e2,4.726499103e5,1.622830728e9,4.238850389e8,1.519e-7,17936.533136,5.224020
14,0.000018,1.431826818e2,4.742212766e5,1.633345314e9,3.671433182e8,1.719e-7,15484.050858,4.495599
16,0.000020,1.430639603e2,4.755020643e5,1.642381008e9,3.087637481e8,1.886e-7,12986.852058,3.759953
18,0.000023,1.429449555e2,4.764864390e5,1.649906124e9,2.495373642e8,2.385e-7,10474.059438,3.024867
20,0.000025,1.428257419e2,4.771724938e5,1.655908543e9,1.902390545e8,2.431e-7,7973.596841,2.297700
22,0.000028,1.427063940e2,4.775621213e5,1.660394833e9,1.316108637e8,2.542e-7,5511.779844,1.585296
24,0.000030,1.425869851e2,4.776608058e5,1.663389012e9,7.434637296e7,2.847e-7,3112.935877,0.893914
26,0.000033,1.424675871e2,4.774773400e5,1.664931020e9,1.907640628e7,2.605e-7,799.049701,0.229156
28,0.000035,1.423482690e2,4.770234757e5,1.665074901e9,-3.364357176e7,2.906e-7,-1410.562518,-0.404109
30,0.000038,1.422290967e2,4.763135159e5,1.663886779e9,-8.334391597e7,3.156e-7,-3499.540248,-1.001798
32,0.000040,1.421101322e2,4.753638628e5,1.661442650e9,-1.296486196e8,3.253e-7,-5454.710790,-1.560675
34,0.000043,1.419914333e2,4.741925339e5,1.657826078e9,-1.722800112e8,3.649e-7,-7266.247309,-2.078385
36,0.000045,1.418730529e2,4.728186645e5,1.653125847e9,-2.110599366e8,3.701e-7,-8927.732869,-2.553465
38,0.000048,1.417550392e2,4.712620139e5,1.647433669e9,-2.459071907e8,3.888e-7,-10436.113392,-2.985336
40,0.000050,1.416374354e2,4.695424941e5,1.640842013e9,-2.768311804e8,3.916e-7,-11791.528302,-3.374258
42,0.000053,1.415202799e2,4.676797408e5,1.633442147e9,-3.039220577e8,4.212e-7,-12997.016172,-3.721247
44,0.000055,1.414036059e2,4.656927406e5,1.625322455e9,-3.273378262e8,4.454e-7,-14058.103021,-4.027974
46,0.000058,1.412874424e2,4.635995303e5,1.616567095e9,-3.472891741e8,4.602e-7,-14982.291888,-4.296626
48,0.000060,1.411718136e2,4.614169754e5,1.607255040e9,-3.640229839e8,5.003e-7,-15778.482517,-4.529748
50,0.000063,1.410567400e2,4.591606321e5,1.597459496e9,-3.778055903e8,5.426e-7,-16456.358137,-4.730080
52,0.000065,1.409422383e2,4.568446927e5,1.587247719e9,-3.889068873e8,5.889e-7,-17025.781127,-4.900393
54,0.000068,1.408283216e2,4.544820042e5,1.576681166e9,-3.975863158e8,6.238e-7,-17496.240207,-5.043332
56,0.000070,1.407150002e2,4.520841524e5,1.565815948e9,-4.040815927e8,6.715e-7,-17876.388301,-5.161291
58,0.000073,1.406022816e2,4.496615925e5,1.554703488e9,-4.086008065e8,7.079e-7,-18173.702775,-5.256318
60,0.000075,1.404901707e2,4.472238104e5,1.543391320e9,-4.113182050e8,7.606e-7,-18394.289188,-5.330057
62,0.000077,1.403786702e2,4.447794958e5,1.531923929e9,-4.123736877e8,8.003e-7,-18542.837138,-5.383736
64,0.000080,1.402677808e2,4.423367086e5,1.520343539e9,-4.118757153e8,8.622e-7,-18622.723695,-5.418193
66,0.000083,1.401575011e2,4.399030231e5,1.508690796e9,-4.099070821e8,9.119e-7,-18636.247563,-5.433944
68,0.000085,1.400478279e2,4.374856375e5,1.497005258e9,-4.065328003e8,9.494e-7,-18584.966707,-5.431281
70,0.000088,1.399387563e2,4.350914409e5,1.485325678e9,-4.018092211e8,1.012e-6,-18470.104597,-5.410385
72,0.000090,1.398302797e2,4.327270330e5,1.473690044e9,-3.957934746e8,1.050e-6,-18292.985854,-5.371462
74,0.000093,1.397223898e2,4.303986977e5,1.462135393e9,-3.885523497e8,1.107e-6,-18055.461218,-5.314861
76,0.000095,1.396150768e2,4.281123357e5,1.450697415e9,-3.801698362e8,1.169e-6,-17760.284136,-5.241201
78,0.000098,1.395083297e2,4.258733640e5,1.439409889e9,-3.707527128e8,1.208e-6,-17411.406495,-5.151454
80,0.000100,1.394021358e2,4.236865931e5,1.428304013e9,-3.604337569e8,1.254e-6,-17014.168621,-5.047017
82,0.000103,1.392964817e2,4.215560958e5,1.417407680e9,-3.493723669e8,1.304e-6,-16575.367804,-4.929737
84,0.000105,1.391913528e2,4.194850780e5,1.406744773e9,-3.377525978e8,1.347e-6,-16103.199638,-4.801903
86,0.000108,1.390867340e2,4.174757672e5,1.396334535e9,-3.257788130e8,1.384e-6,-15607.076558,-4.666200
88,0.000110,1.389826097e2,4.155293270e5,1.386191073e9,-3.136693201e8,1.438e-6,-15097.337288,-4.525629
90,0.000113,1.388789641e2,4.136458077e5,1.376323035e9,-3.016484930e8,1.476e-6,-14584.868860,-4.383397
92,0.000115,1.387757816e2,4.118241395e5,1.366733499e9,-2.899379644e8,1.521e-6,-14080.668739,-4.242787
94,0.000118,1.386730470e2,4.100621704e5,1.357420081e9,-2.787475116e8,1.550e-6,-13595.378055,-4.107019
96,0.000120,1.385707458e2,4.083567485e5,1.348375272e9,-2.682662450e8,1.586e-6,-13138.817764,-3.979104
98,0.000123,1.384688643e2,4.067038475e5,1.339586979e9,-2.586546555e8,1.622e-6,-12719.557833,-3.861708
100,0.000125,1.383673899e2,4.050987280e5,1.331039254e9,-2.500379850e8,1.653e-6,-12344.545553,-3.757034
102,0.000128,1.382663114e2,4.035361273e5,1.322713172e9,-2.425012704e8,1.686e-6,-12018.813384,-3.666725
104,0.000130,1.381656187e2,4.020104700e5,1.314587815e9,-2.360862761e8,1.707e-6,-11745.279973,-3.591792
106,0.000133,1.380653035e2,4.005160881e5,1.306641311e9,-2.307904037e8,1.742e-6,-11524.650846,-3.532575
108,0.000135,1.379653585e2,3.990474416e5,1.298851883e9,-2.265675346e8,1.775e-6,-11355.418477,-3.488736
110,0.000138,1.378657781e2,3.975993301e5,1.291198873e9,-2.233306598e8,1.798e-6,-11233.955537,-3.459276
112,0.000140,1.377665576e2,3.961670869e5,1.283663678e9,-2.209560626e8,1.831e-6,-11154.690527,-3.442585
114,0.000143,1.376676935e2,3.947467490e5,1.276230588e9,-2.192887638e8,1.846e-6,-11110.351860,-3.436507
116,0.000145,1.375691834e2,3.933351965e5,1.268887476e9,-2.181489096e8,1.894e-6,-11092.264895,-3.438428
118,0.000148,1.374710254e2,3.919302592e5,1.261626342e9,-2.173387755e8,1.908e-6,-11090.686180,-3.445375
120,0.000150,1.373732179e2,3.905307865e5,1.254443680e9,-2.166500782e8,1.939e-6,-11095.160006,-3.454122
122,0.000153,1.372757595e2,3.891366803e5,1.247340670e9,-2.158713158e8,1.959e-6,-11094.883966,-3.461305
124,0.000155,1.371786490e2,3.877488926e5,1.240323209e9,-2.147948978e8,1.982e-6,-11079.072150,-3.463531
126,0.000158,1.370818844e2,3.863693871e5,1.233401754e9,-2.132238685e8,2.010e-6,-11037.306559,-3.457493
128,0.000160,1.369854634e2,3.850010697e5,1.226591029e9,-2.109780651e8,2.035e-6,-10959.869036,-3.440072
130,0.000163,1.368893826e2,3.836476894e5,1.219909575e9,-2.078995892e8,2.053e-6,-10838.047248,-3.408443
132,0.000165,1.367936379e2,3.823137142e5,1.213379179e9,-2.038574917e8,2.075e-6,-10664.409051,-3.360161
134,0.000168,1.366982238e2,3.810041852e5,1.207024194e9,-1.987515920e8,2.103e-6,-10433.039830,-3.293250
136,0.000170,1.366031334e2,3.797245553e5,1.200870774e9,-1.925153636e8,2.130e-6,-10139.737394,-3.206263
138,0.000173,1.365083585e2,3.784805147e5,1.194946046e9,-1.851178269e8,2.144e-6,-9782.158904,-3.098346
140,0.000175,1.364138897e2,3.772778112e5,1.189277240e9,-1.765643988e8,2.164e-6,-9359.914288,-2.969272
142,0.000178,1.363197157e2,3.761220677e5,1.183890817e9,-1.668966645e8,2.181e-6,-8874.601031,-2.819460
144,0.000180,1.362258243e2,3.750186052e5,1.178811599e9,-1.561910530e8,2.198e-6,-8329.776221,-2.649975
146,0.000183,1.361322017e2,3.739722739e5,1.174061951e9,-1.445564290e8,2.209e-6,-7730.863442,-2.462501
